안녕.안녕히 가세요	안.녕.안.녕.히.가.세.요
아들아	아.들.아
곰돌이가 좋아	곰.돌.이.가.좋.아
엉덩이 안 차가워	엉.덩.이.안.차.가.워
아이고 다리 찢기	아.이.고.다.리.찢.기
김이름	김.이.름
이름야	이.름.야
이름야	이.름.야
우아	우.아
김이름	김.이.름
아니야.엄마가 인형 많이 줄게	아.니.야.엄.마.가.인.형.많.이.줄.게
인형이 이렇게 좋아요	인.형.이.이.렇.게.좋.아.요
으아	으.아
아	아
아	아
김이름씨	김.이.름.씨
우	우
이건 아니고.아	이.건.아.니.고.아
이거 잡아	이.거.잡.아
엎드리고 싶어	엎.드.리.고.싶.어
우	우
허어	허.어
하	하
하	하
우	우
곰돌이가 더 예쁜데.엄마는	곰.돌.이.가.더.예.쁜.데.엄.마.는
아이고 좋아	아.이.고.좋.아
곰돌아 사랑해	곰.돌.아.사.랑.해
사랑해	사.랑.해
곰돌아 사랑해 해	곰.돌.아.사.랑.해.해
졸리구나	졸.리.구.나
에고	에.고
악	악
우	우
우	우
응	응
아이고	아.이.고
으	으
응.에구구	응.에.구.구
아이 좋아	아.이.좋.아
아이 좋아	아.이.좋.아
아이 좋아	아.이.좋.아
졸린 거야 좋은 거야	졸.린.거.야.좋.은.거.야
호기심 천국이네	호.기.심.천.국.이.네
앉혀 줄까	앉.혀.줄.까
으이차	으.이.차
안아 줘요	안.아.줘.요
졸리구나	졸.리.구.나
에야	에.야
에요	에.요
아야	아.야
응	응
어.아이고야	어.아.이.고.야
오	오
흐으	흐.으
아빠 그래	아.빠.그.래
아빠 그래	아.빠.그.래
누구세요 그래	누.구.세.요.그.래
누구세요	누.구.세.요
뚱땡아	뚱.땡.아
뚱땡아	뚱.땡.아
빰빠밤빠밤빰 빰빠밤.아빠 안녕 그래	빰.빠.밤.빠.밤.빰.빰.빠.밤.아.빠.안.녕.그.래
아빠 안녕	아.빠.안.녕
이제 다 끝났다	이.제.다.끝.났.다
그치	그.치
에이고	에.이.고
에이고 잘했다	에.이.고.잘.했.다
안 울고	안.울.고
이름이 코	이.름.이.코
이름이 코 나왔네	이.름.이.코.나.왔.네
이름이 코 닦아 줘야 되겠다	이.름.이.코.닦.아.줘.야.되.겠.다
이름아 코	이.름.아.코
이름이 뭐 가지고 놀아	이.름.이.뭐.가.지.고.놀.아
응	응
이름아 여기 기린	이.름.아.여.기.기.린
기린	기.린
어	어
이것도	이.것.도
와	와
이렇게 하는 거야	이.렇.게.하.는.거.야
오	오
오.또	오.또
에이 쓰러졌다	에.이.쓰.러.졌.다
에	에
어	어
이렇게	이.렇.게
이렇게	이.렇.게
우 쓰러졌네	우.쓰.러.졌.네
여기 동그라미	여.기.동.그.라.미
어	어
와 이런 것도 있네.이름아	와.이.런.것.도.있.네.이.름.아
오 빨간색 인형이다	오.빨.간.색.인.형.이.다
아 귀여워	아.귀.여.워
이름이처럼 귀엽네	이.름.이.처.럼.귀.엽.네
응	응
이름이처럼 귀엽구나	이.름.이.처.럼.귀.엽.구.나
여기 우리 친구들 여기 끌어 줄까	여.기.우.리.친.구.들.여.기.끌.어.줄.까
봐 봐.요렇게	봐.봐.요.렇.게
이름이 끄는 거 잘하지 요렇게	이.름.이.끄.는.거.잘.하.지.요.렇.게
와	와
괜찮아	괜.찮.아
어우 아파.괜찮아	어.우.아.파.괜.찮.아
아이구 뭐가 이렇게 많네.여기도 많구	아.이.구.뭐.가.이.렇.게.많.네.여.기.도.많.구
우와 당근이다	우.와.당.근.이.다
당근	당.근
또 뭐가 있을까.어.피망도 있다	또.뭐.가.있.을.까.어.피.망.도.있.다
피망도 있다	피.망.도.있.다
피망도 있구	피.망.도.있.구
버섯도 있다	버.섯.도.있.다
버섯이 여기 또 있네	버.섯.이.여.기.또.있.네
어.고기	어.고.기
와	와
이름이 매일 먹는 치즈	이.름.이.매.일.먹.는.치.즈
아	아
이따가 엄마가 치즈도 줄게	이.따.가.엄.마.가.치.즈.도.줄.게
이름이 코를 계속 흘리는구나	이.름.이.코.를.계.속.흘.리.는.구.나
자.한번 닦자	자.한.번.닦.자
어	어
어.파인애플 엄마 먹을까	어.파.인.애.플.엄.마.먹.을.까
엄마 먹어	엄.마.먹.어
물고기	물.고.기
고맙습니다.고마워 이름아.엄마 다 주는 거야	고.맙.습.니.다.고.마.워.이.름.아.엄.마.다.주.는.거.야
어.이거는 뭐지 소세진가	어.이.거.는.뭐.지.소.세.진.가
응	응
소세지 맛있겠다	소.세.지.맛.있.겠.다
토마토	토.마.토
야	야
우와	우.와
코끼리도 있네	코.끼.리.도.있.네
코끼리	코.끼.리
음 코끼리	음.코.끼.리
코끼리 아 예쁘지	코.끼.리.아.예.쁘.지
코끼리 아 예쁘다	코.끼.리.아.예.쁘.다
아	아
기린도 아 예쁘고	기.린.도.아.예.쁘.고
우리 친구들	우.리.친.구.들
어 여기 이름이 좋아하는 미끄럼틀도 있다	어.여.기.이.름.이.좋.아.하.는.미.끄.럼.틀.도.있.다
이름이 미끄럼틀 좋아하지	이.름.이.미.끄.럼.틀.좋.아.하.지
엄마 미끄럼틀 태워 줄까	엄.마.미.끄.럼.틀.태.워.줄.까
엄마 미끄럼틀 태워 줄까	엄.마.미.끄.럼.틀.태.워.줄.까
자	자
오	오
혼자 할 수 있겠어	혼.자.할.수.있.겠.어
히히히 엄마한테 오세요	히.히.히.엄.마.한.테.오.세.요
엄마가 태워 줄까	엄.마.가.태.워.줄.까
자	자
어때.재밌어	어.때.재.밌.어
어때 재밌어	어.때.재.밌.어
한 번 더 해 줄까	한.번.더.해.줄.까
어.어.엄마가 도와줘야 되지	어.어.엄.마.가.도.와.줘.야.되.지
아이 신나	아.이.신.나
아이 재밌다	아.이.재.밌.다
엄마	엄.마
아	아
어	어
아.거기 있을 거야	아.거.기.있.을.거.야
오	오
뭐.어 여기도 인형이 많다	뭐.어.여.기.도.인.형.이.많.다
아 곰돌이 인형이네	아.곰.돌.이.인.형.이.네
박수	박.수
아 이뻐	아.이.뻐
아	아
뽀뽀	뽀.뽀
아 이쁘다	아.이.쁘.다
응	응
또	또
이름아 우리 내려와서 볼까 그러면	이.름.아.우.리.내.려.와.서.볼.까.그.러.면
자	자
어어어어어	어.어.어.어.어
이름아 이거 봐 봐	이.름.아.이.거.봐.봐
와.여기 신기한 인형이 많은데	와.여.기.신.기.한.인.형.이.많.은.데
어	어
어	어
공 찾으러 왔어	공.찾.으.러.왔.어
공 찾으러 왔어	공.찾.으.러.왔.어
어	어
응	응
엄마랑 공놀이 할까	엄.마.랑.공.놀.이.할.까
으이	으.이
으이	으.이
이름아 여기가 어디야	이.름.아.여.기.가.어.디.야
응	응
여기가 어디야	여.기.가.어.디.야
응.우리 집이 아니지	응.우.리.집.이.아.니.지
여기 오니까 장난감도 많고 신기한 게 많아	여.기.오.니.까.장.난.감.도.많.고.신.기.한.게.많.아
어	어
요거는 가스렌지야	요.거.는.가.스.렌.지.야
어	어
응	응
어 여기는 뭐 장난감이 없구나	어.여.기.는.뭐.장.난.감.이.없.구.나
저기 가서 놀까	저.기.가.서.놀.까
뭐가 있나.어	뭐.가.있.나.어
이름아 이거 병원 가면 있는 거	이.름.아.이.거.병.원.가.면.있.는.거
요거도 있고	요.거.도.있.고
이름이 뭐 가지고 놀래	이.름.이.뭐.가.지.고.놀.래
이게 좋아	이.게.좋.아
이름이 혼자 탈 수 있겠어.응	이.름.이.혼.자.탈.수.있.겠.어.응
자 다시 일어나서 해 봐	자.다.시.일.어.나.서.해.봐
이름이 혼자 할 수 있지	이.름.이.혼.자.할.수.있.지
어.어.자	어.어.자
우와 아이고 잘한다	우.와.아.이.고.잘.한.다
어	어
자.요기 잡고	자.요.기.잡.고
손잡이 잡고	손.잡.이.잡.고
자	자
엄마가 끌어 줄까	엄.마.가.끌.어.줄.까
어디로 갈까	어.디.로.갈.까
어	어
내릴 거야	내.릴.거.야
어	어
내릴 거야	내.릴.거.야
내리고 싶어	내.리.고.싶.어
자.딴 데 갈 거야	자.딴.데.갈.거.야
으쌰	으.쌰
자.어디 갈까.이름아	자.어.디.갈.까.이.름.아
뭐 할까	뭐.할.까
뭐 할까요	뭐.할.까.요
응	응
이름이 당근이 좋아	이.름.이.당.근.이.좋.아
당근 엄마 먹을게	당.근.엄.마.먹.을.게
어 맛있다	어.맛.있.다
가지	가.지
어	어
어 맛있다	어.맛.있.다
아이 맛있다	아.이.맛.있.다
응	응
우와	우.와
또 뭐 있나 보야 봐야겠네	또.뭐.있.나.보.야.봐.야.겠.네
우와 이건 완전 대형 당근인데	우.와.이.건.완.전.대.형.당.근.인.데
어우.어	어.우.어
이게 빠졌어	이.게.빠.졌.어
이렇게 해 줄까	이.렇.게.해.줄.까
자.이름이도 할 수 있지	자.이.름.이.도.할.수.있.지
아까 엄마가 어떻게 했어	아.까.엄.마.가.어.떻.게.했.어
어.그 반대	어.그.반.대
어	어
자 이렇게 하는 게 어떨까	자.이.렇.게.하.는.게.어.떨.까
잡고	잡.고
응	응
요렇게 해 볼까	요.렇.게.해.볼.까
우와.이름이 잘하네	우.와.이.름.이.잘.하.네
어	어
어	어
또 빠졌어	또.빠.졌.어
어.해	어.해
어	어
어 여기였던 거 같은데	어.여.기.였.던.거.같.은.데
자	자
어	어
어	어
어	어
우와 이름이 잘한다	우.와.이.름.이.잘.한.다
어	어
이거 엄마 줄 거야	이.거.엄.마.줄.거.야
고마워	고.마.워
응	응
어	어
자.고마워	자.고.마.워
이렇게 해 줘	이.렇.게.해.줘
어	어
응	응
에 입에 넣었어 자	에.입.에.넣.었.어.자
으쌰	으.쌰
음 아	음.아
어	어
요 친구가 더 있었는데.어디 갔지.여깄네	요.친.구.가.더.있.었.는.데.어.디.갔.지.여.깄.네
어.또.오	어.또.오
기린	기.린
어 요거	어.요.거
어.저 어 어디서 나는 소리야	어.저.어.어.디.서.나.는.소.리.야
어디서 소리가 났어	어.디.서.소.리.가.났.어
어디서 나는 소리래	어.디.서.나.는.소.리.래
어.엄마 핸드폰인가	어.엄.마.핸.드.폰.인.가
자	자
어.어 이거 왠지 이름이가 좋아할 거 같애	어.어.이.거.왠.지.이.름.이.가.좋.아.할.거.같.애
오 해 볼까.같이 해 볼래 엄마랑	오.해.볼.까.같.이.해.볼.래.엄.마.랑
자	자
아	아
자.여기 구멍에 껴 볼까	자.여.기.구.멍.에.껴.볼.까
오	오
아야야야야.어.이 친구는 아파.이렇게 하면	아.야.야.야.야.어.이.친.구.는.아.파.이.렇.게.하.면
어	어
그렇게 할 거야	그.렇.게.할.거.야
어	어
자	자
어 이름이가 해 볼래	어.이.름.이.가.해.볼.래
이름이가 해 봐	이.름.이.가.해.봐
자	자
오 이름이 잘한다	오.이.름.이.잘.한.다
자	자
또 이걸로도 해 볼까	또.이.걸.로.도.해.볼.까
오	오
어	어
구멍이 어딨나	구.멍.이.어.딨.나
우와	우.와
이름이 너무 잘한다	이.름.이.너.무.잘.한.다
까만색 동그라미는	까.만.색.동.그.라.미.는
박수	박.수
아이고	아.이.고
또	또
재밌어	재.밌.어
어	어
우와	우.와
이름이 잘한다	이.름.이.잘.한.다
잘했어요	잘.했.어.요
한 번 더 해 볼까	한.번.더.해.볼.까
오	오
어	어
자	자
엄마가 한 번 할 테니까 이름이도 한 번 하 하고	엄.마.가.한.번.할.테.니.까.이.름.이.도.한.번.하.하.고
엄마 했어	엄.마.했.어
응	응
오.그 다음에 엄마가 해 볼까	오.그.다.음.에.엄.마.가.해.볼.까
응.이름이가 할래	응.이.름.이.가.할.래
이제 보라색 동그라미를 구멍에 껴 보자	이.제.보.라.색.동.그.라.미.를.구.멍.에.껴.보.자
어.안 들어간다	어.안.들.어.간.다
어려워	어.려.워
응	응
응	응
이름이 코가 또 나왔네	이.름.이.코.가.또.나.왔.네
엄마 코 닦아 줄게	엄.마.코.닦.아.줄.게
이름이 물도 마실까	이.름.이.물.도.마.실.까
응	응
물 마시면서 놀까요	물.마.시.면.서.놀.까.요
이름아 물	이.름.아.물
이름아 물 마시자	이.름.아.물.마.시.자
아	아
이름이 아	이.름.이.아
아.안 마셔	아.안.마.셔
어.한 입만 먹자	어.한.입.만.먹.자
자	자
괜찮아	괜.찮.아
엄마 없다	엄.마.없.다
엄마 없다	엄.마.없.다
어	어
어	어
어	어
어	어
왜	왜
여기는 왜 왔어	여.기.는.왜.왔.어
응	응
어 나가고 싶다고	어.나.가.고.싶.다.고
이리 와	이.리.와
저기 가서 놀자	저.기.가.서.놀.자
오	오
어 여기 이상한 게 있어	어.여.기.이.상.한.게.있.어
어	어
자	자
아 이뻐	아.이.뻐
아 이쁘다	아.이.쁘.다
아 이쁘다	아.이.쁘.다
와	와
뽀뽀	뽀.뽀
뽀뽀도 한번 해 주자.뽀뽀	뽀.뽀.도.한.번.해.주.자.뽀.뽀
아 이쁘다 하고 뽀뽀도 한번 해 주자	아.이.쁘.다.하.고.뽀.뽀.도.한.번.해.주.자
오	오
우리 이름이 너무 이쁘다	우.리.이.름.이.너.무.이.쁘.다
아 이쁘다	아.이.쁘.다
응	응
응.응.자	응.응.자
오	오
자 또 뭐가 있나	자.또.뭐.가.있.나
바구니 안에 뭐가 있을까	바.구.니.안.에.뭐.가.있.을.까
이거 뭐지	이.거.뭐.지
아	아
코	코
코에 뽀뽀하는 거야	코.에.뽀.뽀.하.는.거.야
어	어
엄마 할까	엄.마.할.까
엄마가 이쁘다 해 줄까	엄.마.가.이.쁘.다.해.줄.까
더럽다	더.럽.다
이름이가 꺼내 볼까	이.름.이.가.꺼.내.볼.까
자 하나씩 꺼내 봐	자.하.나.씩.꺼.내.봐
우와	우.와
또	또
어	어
오	오
어	어
어	어
어	어
무슨 소리가 나	무.슨.소.리.가.나
어	어
또	또
어.여기 공	어.여.기.공
공	공
큰 공	큰.공
엄마가 공 가지고 올까	엄.마.가.공.가.지.고.올.까
여기 큰 공이랑 작은 공이랑 다 있네.여기 공이 많다	여.기.큰.공.이.랑.작.은.공.이.랑.다.있.네.여.기.공.이.많.다
응.집에도 공이 있지	응.집.에.도.공.이.있.지
어	어
응	응
어	어
공이 굴러가네	공.이.굴.러.가.네
어	어
에구	에.구
응	응
앵무새가 방울도 달고 있다.여기 소리가 나네	앵.무.새.가.방.울.도.달.고.있.다.여.기.소.리.가.나.네
방울 소리	방.울.소.리
신기한 게 많아	신.기.한.게.많.아
오	오
자동차에 뭐 태웠어	자.동.차.에.뭐.태.웠.어
자동차에 뭐 실을 실을 거야	자.동.차.에.뭐.실.을.실.을.거.야
우와 우리 이름이 기운도 좋다	우.와.우.리.이.름.이.기.운.도.좋.다
어.이름아 그거 들고 어디 가	어.이.름.아.그.거.들.고.어.디.가
자동차 들고 어디 가	자.동.차.들.고.어.디.가
물 마실 거야	물.마.실.거.야
으쌰	으.쌰
자	자
아	아
아	아
아	아
아	아
아	아
어.물 마셔.어 엄마가 마신다 그럼	어.물.마.셔.어.엄.마.가.마.신.다.그.럼
물 달라며	물.달.라.며
안 먹어	안.먹.어
어	어
엄마가 닦아 줄게	엄.마.가.닦.아.줄.게
으쌰	으.쌰
오	오
노랑이	노.랑.이
빨강이 파랑이	빨.강.이.파.랑.이
여기 한번 들어가 볼까	여.기.한.번.들.어.가.볼.까
으쌰	으.쌰
이름아	이.름.아
어.종이 있다	어.종.이.있.다
이렇게 하는 거야	이.렇.게.하.는.거.야
소리가 나지	소.리.가.나.지
이게 무슨 소리야	이.게.무.슨.소.리.야
우와	우.와
응	응
응	응
왜.여기도	왜.여.기.도
여기도 인형 있어	여.기.도.인.형.있.어
우와	우.와
자	자
안아 줘	안.아.줘
이	이
자 여기 빠이빠이 안녕	자.여.기.빠.이.빠.이.안.녕
응	응
어	어
엄마	엄.마
어	어
문 열고 나올 거야	문.열.고.나.올.거.야
어.문 열고 나오세요 그럼	어.문.열.고.나.오.세.요.그.럼
어	어
거기 이름이 있어요	거.기.이.름.이.있.어.요
문 좀 열어 주세요	문.좀.열.어.주.세.요
이름이 엄만데요	이.름.이.엄.만.데.요
어	어
어.이름이네	어.이.름.이.네
어	어
어	어
응	응
응	응
이름아 엄마랑 놀자	이.름.아.엄.마.랑.놀.자
거기 있을 거야	거.기.있.을.거.야
응	응
엄마는 인형 정리해야겠다	엄.마.는.인.형.정.리.해.야.겠.다
양배추	양.배.추
이름이 없다.이름이 어딨지	이.름.이.없.다.이.름.이.어.딨.지
이름이가 안 보이네	이.름.이.가.안.보.이.네
어.거깄었어	어.거.깄.었.어
응	응
아이구 잘하네	아.이.구.잘.하.네
아이구 잘하네	아.이.구.잘.하.네
옳지	옳.지
어	어
네모	네.모
이쁘다	이.쁘.다
여기다 맞출 거야.옳지	여.기.다.맞.출.거.야.옳.지
옳지	옳.지
어 이름아 이거는 만지면 안 돼	어.이.름.아.이.거.는.만.지.면.안.돼
이름아 이거 만지면 안 되는데	이.름.아.이.거.만.지.면.안.되.는.데
어	어
응	응
잠깐만	잠.깐.만
마이큰데.이거 이름이 만지면 안 돼	마.이.큰.데.이.거.이.름.이.만.지.면.안.돼
이름이 엄마가 치즈 줄까	이.름.이.엄.마.가.치.즈.줄.까
어	어
치즈 줄까	치.즈.줄.까
치즈가 어딨지	치.즈.가.어.딨.지
이름아 치즈가 어딨어	이.름.아.치.즈.가.어.딨.어
상자	상.자
오 어	오.어
여기도 신기한 게 많다	여.기.도.신.기.한.게.많.다
어	어
어.소리가 안 나네	어.소.리.가.안.나.네
응	응
어.고마워	어.고.마.워
아.고마워	아.고.마.워
이름이 어디 가요	이.름.이.어.디.가.요
곰돌이	곰.돌.이
아 이쁘다	아.이.쁘.다
옳지	옳.지
여기도 있네	여.기.도.있.네
잘 안 돼	잘.안.돼
한 번 더 해 볼까	한.번.더.해.볼.까
엄마가 좀 도와줄게	엄.마.가.좀.도.와.줄.게
오	오
또	또
꼭	꼭
요것도 한번 넣어 볼까	요.것.도.한.번.넣.어.볼.까
오	오
자.요거	자.요.거
자	자
이번엔 엄마가 해 봐야지	이.번.엔.엄.마.가.해.봐.야.지
하나	하.나
둘	둘
셋	셋
넷	넷
다섯	다.섯
오	오
빼는 거야 이름이가	빼.는.거.야.이.름.이.가
이름이가 좋아하는 또앙 틀어 줄까	이.름.이.가.좋.아.하.는.또.앙.틀.어.줄.까
또앙도 한번 들어 볼래	또.앙.도.한.번.들.어.볼.래
이름이 음악이 없어서 심심하지	이.름.이.음.악.이.없.어.서.심.심.하.지
거울.이름이 이쁜 어 이쁜 얼굴	거.울.이.름.이.이.쁜.어.이.쁜.얼.굴
어	어
어.어	어.어
로봇이다	로.봇.이.다
자	자
이리 와 볼까	이.리.와.볼.까
으쌰	으.쌰
여기 아무 것도 없어	여.기.아.무.것.도.없.어
궁금해	궁.금.해
여기 아무것도 없는데	여.기.아.무.것.도.없.는.데
뭐가 들어 있나	뭐.가.들.어.있.나
소리가 나는데	소.리.가.나.는.데
종이가 들어 있네	종.이.가.들.어.있.네
종이	종.이
어.그게 뭐 하는 거야	어.그.게.뭐.하.는.거.야
자	자
자	자
넣을 거야 이름이가	넣.을.거.야.이.름.이.가
자	자
아빠	아.빠
아빠다	아.빠.다
안아 주세요	안.아.주.세.요
잘 놀고 있었어요	잘.놀.고.있.었.어.요
어	어
자.여기로 가자	자.여.기.로.가.자
가자	가.자
우아	우.아
고슴도치 코	고.슴.도.치.코
아.아까 고슴도치 예쁘다고 해 줬지.이름아	아.아.까.고.슴.도.치.예.쁘.다.고.해.줬.지.이.름.아
뽀뽀도 해 주고	뽀.뽀.도.해.주.고
어	어
이름아	이.름.아
종소리가 나네	종.소.리.가.나.네
와	와
박수	박.수
큰 곰 인형도 아까 봤어요	큰.곰.인.형.도.아.까.봤.어.요
이름이보다 크다.어	이.름.이.보.다.크.다.어
곰돌이가 이름이보다 크네	곰.돌.이.가.이.름.이.보.다.크.네
아까 이름이 버섯도 먹었는데	아.까.이.름.이.버.섯.도.먹.었.는.데
이름이 배부르겠다	이.름.이.배.부.르.겠.다
응	응
피망	피.망
어.피망	어.피.망
버섯	버.섯
파인애플	파.인.애.플
이름이가 주니까 더 맛있네	이.름.이.가.주.니.까.더.맛.있.네
재밌었지	재.밌.었.지
자.벗어.벗자	자.벗.어.벗.자
어	어
끼워 봐	끼.워.봐
어.이게 아닌가 봐.이건 구멍이 없어	어.이.게.아.닌.가.봐.이.건.구.멍.이.없.어
이건 되겠다	이.건.되.겠.다
해 볼래	해.볼.래
봐 봐	봐.봐
우와	우.와
됐다	됐.다
또 해 봐	또.해.봐
또 해 봐	또.해.봐
우와 잘했다	우.와.잘.했.다
또 해 볼까	또.해.볼.까
초록색	초.록.색
또 구멍에 맞춰서	또.구.멍.에.맞.춰.서
잘하는데	잘.하.는.데
또 해 볼래	또.해.볼.래
이걸로	이.걸.로
우와 너 진짜 잘한다	우.와.너.진.짜.잘.한.다
또	또
우와 잘하는데	우.와.잘.하.는.데
그거는 구멍이 없어.봐 봐.이름아	그.거.는.구.멍.이.없.어.봐.봐.이.름.아
못 들어가	못.들.어.가
들어갈 수가 없어	들.어.갈.수.가.없.어
에이	에.이
다 뺐지	다.뺐.지
어때	어.때
이건 안 되니까 이거.아 이건 여기 들어있는 거구나	이.건.안.되.니.까.이.거.아.이.건.여.기.들.어.있.는.거.구.나
이건 여기 들어있는 거래	이.건.여.기.들.어.있.는.거.래
자.편하게 앉아서 해 보자	자.편.하.게.앉.아.서.해.보.자
편하게 앉아요	편.하.게.앉.아.요
으쌰.옳지	으.쌰.옳.지
야.됐다	야.됐.다
됐다	됐.다
됐다	됐.다
어.자 해 보자	어.자.해.보.자
잘하는데	잘.하.는.데
또	또
우 이번엔 혼자 했네	우.이.번.엔.혼.자.했.네
자.이번엔 커다란 보라색	자.이.번.엔.커.다.란.보.라.색
거 오.어.이건 너무 커	거.오.어.이.건.너.무.커
오.이름이가 도와줘	오.이.름.이.가.도.와.줘
앗.이야 잘한다	앗.이.야.잘.한.다
또.주황색	또.주.황.색
우	우
분홍색	분.홍.색
분홍색	분.홍.색
아.떨어졌다.다시 집어서 해 봐	아.떨.어.졌.다.다.시.집.어.서.해.봐
이쪽으로.이제 이름이가 도와주세요	이.쪽.으.로.이.제.이.름.이.가.도.와.주.세.요
넣어 보자	넣.어.보.자
넣어 보자	넣.어.보.자
야 우와.잘하는데	야.우.와.잘.하.는.데
그럼 우리 이거 해 볼까	그.럼.우.리.이.거.해.볼.까
이것도 맞추기	이.것.도.맞.추.기
이것도.다 빼 보자	이.것.도.다.빼.보.자
우와	우.와
어	어
어 이건 바로 했어	어.이.건.바.로.했.어
동그라미.그 다음에 세모.세모는 어떻게 넣을까	동.그.라.미.그.다.음.에.세.모.세.모.는.어.떻.게.넣.을.까
자.돌려.어	자.돌.려.어
딱 맞았어	딱.맞.았.어
딱 맞았어.자	딱.맞.았.어.자
그 다음에 이번에는 파란색	그.다.음.에.이.번.에.는.파.란.색
파란색은 어.안 들어가는데 거기 아닌데	파.란.색.은.어.안.들.어.가.는.데.거.기.아.닌.데
네모	네.모
어	어
여기다 해 봐	여.기.다.해.봐
그건 안 들어가는데	그.건.안.들.어.가.는.데
됐어.잘했어	됐.어.잘.했.어
자.그 다음 이거는	자.그.다.음.이.거.는
됐다.자 그럼 이거는	됐.다.자.그.럼.이.거.는
뭘까	뭘.까
집었어.어디야	집.었.어.어.디.야
이야.이거 넘어진다	이.야.이.거.넘.어.진.다
잘했어	잘.했.어
그 다음에 어 이거 쌓아 봅시다 컵도 있는데	그.다.음.에.어.이.거.쌓.아.봅.시.다.컵.도.있.는.데
이것도 해 볼래	이.것.도.해.볼.래
이것도 해 볼래.이름아	이.것.도.해.볼.래.이.름.아
줄까요	줄.까.요
이거 줘 볼까	이.거.줘.볼.까
컵 쌓기 할 사람	컵.쌓.기.할.사.람
컵 쌓기 할 사람	컵.쌓.기.할.사.람
안 할 거야	안.할.거.야
에이 그래	에.이.그.래
그럼 이건 나중에	그.럼.이.건.나.중.에
나중에 할까.지금 할까	나.중.에.할.까.지.금.할.까
줄까요	줄.까.요
컵 쌓기 할 사람	컵.쌓.기.할.사.람
오.원숭이	오.원.숭.이
만져 봐	만.져.봐
아.예뻐	아.예.뻐
얜 누구야	얜.누.구.야
토끼 있나 볼까	토.끼.있.나.볼.까
토끼 있나	토.끼.있.나
아.예뻐	아.예.뻐
또 뭐가 있나 볼까	또.뭐.가.있.나.볼.까
아 예뻐	아.예.뻐
그 다음에.또 뭐가 오 이건 뭐야	그.다.음.에.또.뭐.가.오.이.건.뭐.야
브로콜리	브.로.콜.리
근데 되게 웃기게 생겼네	근.데.되.게.웃.기.게.생.겼.네
브로콜리 맞겠지	브.로.콜.리.맞.겠.지
어우	어.우
어우	어.우
어우	어.우
뭐 있어	뭐.있.어
뭐 있어	뭐.있.어
뭐 있어	뭐.있.어
뭐 있어	뭐.있.어
이름아	이.름.아
걔는 곰.팬더	걔.는.곰.팬.더
자 이름이에게 출발	자.이.름.이.에.게.출.발
그 다음에.오	그.다.음.에.오
뭐 재밌는 거 봤어	뭐.재.밌.는.거.봤.어
귀엽다	귀.엽.다
얜 누구야	얜.누.구.야
귀여워	귀.여.워
곰돌아	곰.돌.아
자.세워 볼까	자.세.워.볼.까
이름아 내가 더 크지	이.름.아.내.가.더.크.지
야.내가 더 크지	야.내.가.더.크.지
내가 너보다 키도 더 커	내.가.너.보.다.키.도.더.커
물	물
아이고	아.이.고
어	어
그 위에 올라가게	그.위.에.올.라.가.게
이거 봐	이.거.봐
이거 타 볼래	이.거.타.볼.래
이리 오세요	이.리.오.세.요
와 봐	와.봐
어 왜 기침을 하지	어.왜.기.침.을.하.지
물 줘	물.줘
어	어
물	물
응	응
어	어
응	응
곰아	곰.아
엠 엠냐가 뭐지.곰아	엠.엠.냐.가.뭐.지.곰.아
아	아
타 봐	타.봐
어.여기 책 되게 많은데	어.여.기.책.되.게.많.은.데
책 볼래	책.볼.래
안 봐	안.봐
한번 읽어 볼까	한.번.읽.어.볼.까
이거	이.거
여기 앉아.엄마 읽어 줄게	여.기.앉.아.엄.마.읽.어.줄.게
무슨 책을 볼까	무.슨.책.을.볼.까
무슨 책을 볼까	무.슨.책.을.볼.까
어.기침하네	어.기.침.하.네
무슨 책 볼까요	무.슨.책.볼.까.요
무슨 책 볼까요	무.슨.책.볼.까.요
줘	줘
엄마 엄마도 갖고 왔는데	엄.마.엄.마.도.갖.고.왔.는.데
이것도 갖고 왔	이.것.도.갖.고.왔
어.관심이 없네	어.관.심.이.없.네
어 그거.어 공 있네	어.그.거.어.공.있.네
헤헤헤헤헤	헤.헤.헤.헤.헤
응	응
응	응
얘는 고슴도치같이 생겼는데	얘.는.고.슴.도.치.같.이.생.겼.는.데
응 그래.고슴도치다	응.그.래.고.슴.도.치.다
예쁘다.어우 부드러워	예.쁘.다.어.우.부.드.러.워
부드러워	부.드.러.워
곰아	곰.아
곰아	곰.아
어.되게 크다	어.되.게.크.다
엄청 크다 이거는	엄.청.크.다.이.거.는
우와	우.와
이름아 이거 네가 안을 수 있어 이렇게 큰데	이.름.아.이.거.네.가.안.을.수.있.어.이.렇.게.큰.데
어.또 다른 인형이네	어.또.다.른.인.형.이.네
당근	당.근
당근	당.근
너무 추울까	너.무.추.울.까
들어가 보고 싶어	들.어.가.보.고.싶.어
오 이렇게 돌리는 게 있구나	오.이.렇.게.돌.리.는.게.있.구.나
똑같네.당근 당 그래서 여기 당근이 있었구나	똑.같.네.당.근.당.그.래.서.여.기.당.근.이.있.었.구.나
당근	당.근
고슴도치야.코	고.슴.도.치.야.코
고슴도치 코	고.슴.도.치.코
아 이뻐	아.이.뻐
모자 썼네.고슴도치도	모.자.썼.네.고.슴.도.치.도
어	어
무슨 책이 재밌을까	무.슨.책.이.재.밌.을.까
뭐 볼래	뭐.볼.래
