또 녹음하는 거	또|녹.음.하.는|거
호호호 웃기	호.호.호|웃.기
그래 굉장히 조용해 졌	그.래|굉.장.히|조.용.해|졌
왜 이렇게 조용하지 들쥐는 너무 조용해서 플래쉬를 들고 마당으로 나갔잖	왜|이.렇.게|조.용.하.지|들.쥐.는|너.무|조.용.해.서|플.래.쉬.를|들.고|마.당.으.로|나.갔.잖
세윤이도 할아버지 플래쉬 봤	세.윤.이.도|할.아.버.지|플.래.쉬|봤
어 너무 조용하니까 더 무서웠	어|너.무|조.용.하.니.까|더|무.서.웠
그래서 들쥐는 어떻게 했	그.래.서|들.쥐.는|어.떻.게|했
너무 조용해서 무서	너.무|조.용.해.서|무.서
조금 소리가 나야 잠 올 것 같	조.금|소.리.가|나.야|잠|올|것|같
이게 뭔	이.게|뭔
그래 라디오를 켜고 침대에 누웠	그.래|라.디.오.를|켜.고|침.대.에|누.웠
우와 인기가 많은 들쥐씨 노래를 들으면	우.와|인.기.가|많.은|들.쥐.씨|노.래.를|들.으.면
들쥐씨는 새근새근 잠이 들었답니	들.쥐.씨.는|새.근.새.근|잠.이|들.었.답.니
달 초승달이 떴	달|초.승.달.이|떴
그래 어저께 달 보았을 때 반달 떠 있었	그.래|어.저.께|달|보.았.을|때|반.달|떠|있.었
이번에는 또 무얼 읽어보	이.번.에.는|또|무.얼|읽.어.보
달팽	달.팽
오 맞았습니	오|맞.았.습.니
달팽이가 많	달.팽.이.가|많
이히	이.히
메이지의 색깔	메.이.지.의|색.깔
우와 오오 파란색 바다와 파란색 돌고	우.와|오.오|파.란.색|바.다.와|파.란.색|돌.고
갈색 말 초록색 기	갈.색|말|초.록.색|기
빨간 코트와 빨간 카페	빨.간|코.트.와|빨.간|카.페
노란색 모	노.란.색|모
그래 덤프트럭에 노란색 모래를 싣고 있	그.래|덤.프.트.럭.에|노.란.색|모.래.를|싣.고|있
그래 여기서 파서 덤프트럭에 담았나	그.래|여.기.서|파.서|덤.프.트.럭.에|담.았.나
보라색 움직이는 말도 있	보.라.색|움.직.이.는|말.도|있
와 까만색 전등도 있고 하얀색 까운도 있	와|까.만.색|전.등.도|있.고|하.얀.색|까.운.도|있
메이지는 초대장을 받았어 톨루에의 드레스 파티에 오라	메.이.지.는|초.대.장.을|받.았.어|톨.루.에.의|드.레.스|파.티.에|오.라
어 뭘 입고 가	어|뭘|입.고|가
찰리	찰.리
이것은 소방	이.것.은|소.방
소방관 분장을 했어 찰라	소.방.관|분.장.을|했.어|찰.라
그	그
메이지가 좋은 생각이 났어 특별하게 입	메.이.지.가|좋.은|생.각.이|났.어|특.별.하.게|입
모두가 이미 톨루에의 집에 와 있었	모.두.가|이.미|톨.루.에.의|집.에|와|있.었
그때 똑똑 도어벨이 열리고 얼룩말 한 마리가 들어왔	그.때|똑.똑|도.어.벨.이|열.리.고|얼.룩.말|한|마.리.가|들.어.왔
어 누구	어|누.구
어 그건 메이지였	어|그.건|메.이.지.였
메이지가 얼룩말 분장을 하고 나타난거	메.이.지.가|얼.룩.말|분.장.을|하.고|나.타.난.거
모두가 즐거워했	모.두.가|즐.거.워.했
자 이제 파티시간이	자|이.제|파.티.시.간.이
춤추고 신나게 놀았	춤.추.고|신.나.게|놀.았
호호호 호호호호호 룰루루 루	호.호.호|호.호.호.호.호|룰.루.루|루
세윤이는 북 엄마는 첼	세.윤.이.는|북|엄.마.는|첼
디리리리릭 디리리리리릭 디리리리리리릭 루루루루루루루루 디리리리리 디리리리리	디.리.리.리.릭|디.리.리.리.리.릭|디.리.리.리.리.리.릭|루.루.루.루.루.루.루.루|디.리.리.리.리|디.리.리.리.리
디리리리리릭 두루루루루 두두두두두두 두두두두두두두두두두두두두 두	디.리.리.리.리.릭|두.루.루.루.루|두.두.두.두.두.두|두.두.두.두.두.두.두.두.두.두.두.두.두|두
하	하
엄마는 피아	엄.마.는|피.아
땅땅땅땅 뚱따땅 띵리리리 땅다라랑 땅땅 룰룰루 루루루루룰룰룰루 룰루루루루 룰	땅.땅.땅.땅|뚱.따.땅|띵.리.리.리|땅.다.라.랑|땅.땅|룰.룰.루|루.루.루.루.룰.룰.룰.루|룰.루.루.루.루|룰
흐으으	흐.으.으
우와 세윤이도 아주 첼로 연주 잘 하는	우.와|세.윤.이.도|아.주|첼.로|연.주|잘|하.는
세윤이는 어떤 악기가 제일 좋	세.윤.이.는|어.떤|악.기.가|제.일|좋
첼	첼
오호 그렇구	오.호|그.렇.구
엄마도 첼로가 좋	엄.마.도|첼.로.가|좋
세윤아 이거 갖고 논거는 이렇게 어지럽히면 안 되	세.윤.아|이.거|갖.고|논.거.는|이.렇.게|어.지.럽.히.면|안|되
어험 정리를 해야 다음에 또 놀 수 있잖	어.험|정.리.를|해.야|다.음.에|또|놀|수|있.잖
왜 이렇게 뒤집어 엎어놓으셨	왜|이.렇.게|뒤.집.어|엎.어.놓.으.셨
이거 정리하고 나중에 이거 볼 	이.거|정.리.하.고|나.중.에|이.거|볼.|
세윤이가 여기 넣으세	세.윤.이.가|여.기|넣.으.세
이거 넣고 보자 집 만들어	이.거|넣.고|보.자|집|만.들.어
볼	볼
그래 빨리 넣어 놔 세윤이	그.래|빨.리|넣.어|놔|세.윤.이
놀고 나서 정리를 해야 나중에 또 놀 수 있는 거에	놀.고|나.서|정.리.를|해.야|나.중.에|또|놀|수|있.는|거.에
열하	열.하
열	열
열두개 모두 넣었나	열.두.개|모.두|넣.었.나
모두 잘 놓고 있네	모.두|잘|놓.고|있.네
엄마가 도와줄	엄.마.가|도.와.줄
세윤이가 혼자 할 수 있	세.윤.이.가|혼.자|할|수|있
세윤이 혼자 할 수 있	세.윤.이|혼.자|할|수|있
상자가 너무 크	상.자.가|너.무|크
아이구 아이구 아주 잘 했	아.이.구|아.이.구|아.주|잘|했
옳지 옳지 아이구 잘 했다 여기 놓으세요 원래 있던 자리	옳.지|옳.지|아.이.구|잘|했.다|여.기|놓.으.세.요|원.래|있.던|자.리
어 그렇	어|그.렇
잘 했습니	잘|했.습.니
우리 세윤이 정리도 참 잘하네	우.리|세.윤.이|정.리.도|참|잘.하.네
자 이번에는 무슨 나라를 꺼내서 볼 까	자|이.번.에.는|무.슨|나.라.를|꺼.내.서|볼|까
인디안들이에요 인디안들 인디	인.디.안.들.이.에.요|인.디.안.들|인.디
으	으
빨래줄 같아	빨.래.줄|같.아
빨래줄 아니고 가죽을 이렇게 엮어서 옷을 만드는 건가	빨.래.줄|아.니.고|가.죽.을|이.렇.게|엮.어.서|옷.을|만.드.는|건.가
인디안 추장	인.디.안|추.장
인디안 추장이 머리에 장식을 하고 있	인.디.안|추.장.이|머.리.에|장.식.을|하.고|있
인디안의 집은 어디 있나 살펴볼까	인.디.안.의|집.은|어.디|있.나|살.펴.볼.까
이건 아니고 이건	이.건|아.니.고|이.건
이건 오세아니아의 풀집이라	이.건|오.세.아.니.아.의|풀.집.이.라
여기있	여.기.있
우와 인디언 집은 인디언 집을 티피라고 한데 티	우.와|인.디.언|집.은|인.디.언|집.을|티.피.라.고|한.데|티
엄마도 처음 알았	엄.마.도|처.음|알.았
티피 티피	티.피|티.피
오	오
이것	이.것
우	우
이거 봐 인디언이 사는 집이	이.거|봐|인.디.언.이|사.는|집.이
가죽으로 이렇게 엮어 놨	가.죽.으.로|이.렇.게|엮.어|놨
이렇게 집을 만든 거	이.렇.게|집.을|만.든|거
그래서 요 안에 들어가 사는 거	그.래.서|요|안.에|들.어.가|사.는|거
우와 신기하	우.와|신.기.하
그리고 인디언이 사는 걸 엿보면 우	그.리.고|인.디.언.이|사.는|걸|엿.보.면|우
이것 봐 이 집 안은 요렇게 되어 있	이.것|봐|이|집|안.은|요.렇.게|되.어|있
우리는 티피라고 부르는 천막에서 가족이 함께 살아	우.리.는|티.피.라.고|부.르.는|천.막.에.서|가.족.이|함.께|살.아
이거 호수 강가야 강	이.거|호.수|강.가.야|강
연못이나 호수 같은 거	연.못.이.나|호.수|같.은|거
그래 그래 이렇게 조그마	그.래|그.래|이.렇.게|조.그.마
여기서 물고기도 잡고 사냥 연습도 한	여.기.서|물.고.기.도|잡.고|사.냥|연.습.도|한
그리고 티피를 만드는데 티피를 만드는 거	그.리.고|티.피.를|만.드.는.데|티.피.를|만.드.는|거
긴 나뭇가지를 여러개 세우고 그 위에 들소가죽을 이렇게 덮는	긴|나.뭇.가.지.를|여.러.개|세.우.고|그|위.에|들.소.가.죽.을|이.렇.게|덮.는
그러면 멋진 티피 완	그.러.면|멋.진|티.피|완
그건 뭐	그.건|뭐
와 남자들은 이렇게 들	와|남.자.들.은|이.렇.게|들
소는 소인데 이렇게 우락부락 생겼	소.는|소.인.데|이.렇.게|우.락.부.락|생.겼
아 그래 똑같	아|그.래|똑.같
추장님 추장님이 마을 어른들이 들소를 잡아 가지고 오면 축제가 벌어진	추.장.님|추.장.님.이|마.을|어.른.들.이|들.소.를|잡.아|가.지.고|오.면|축.제.가|벌.어.진
거기서 추장이 대장이야 대	거.기.서|추.장.이|대.장.이.야|대
그리고 이렇게 앉아가지고 축제가 벌어지는 것을 쳐다보고 있는 거	그.리.고|이.렇.게|앉.아.가.지.고|축.제.가|벌.어.지.는|것.을|쳐.다.보.고|있.는|거
추장님은 이렇게 화려한 깃털무늬 모자를 쓰고 있	추.장.님.은|이.렇.게|화.려.한|깃.털.무.늬|모.자.를|쓰.고|있
요 티피 티피 안에서는 문으로 들어갈 수도 있고 나올 수도 있	요|티.피|티.피|안.에.서.는|문.으.로|들.어.갈|수.도|있.고|나.올|수.도|있
그것은 인디언 옷인가	그.것.은|인.디.언|옷.인.가
엄마도 잘 모르겠는데 인디언들이 입는 옷이야 	엄.마.도|잘|모.르.겠.는.데|인.디.언.들.이|입.는|옷.이.야.|
이거 봐 세윤	이.거|봐|세.윤
요리를 하는데 옛날에는 가스레인지 같은 것이 없어	요.리.를|하.는.데|옛.날.에.는|가.스.레.인.지|같.은|것.이|없.어
요기다가 이렇게 돌을 모아놓고 나뭇가지를 모아 놓아서 불을 지펴가지고 요리를 했	요.기.다.가|이.렇.게|돌.을|모.아.놓.고|나.뭇.가.지.를|모.아|놓.아.서|불.을|지.펴.가.지.고|요.리.를|했
옥수수 같은 것도 알맹이를 까기도 하고 과일도 거두고 가죽은 이렇게 다듬어서 말린거 다듬	옥.수.수|같.은|것.도|알.맹.이.를|까.기.도|하.고|과.일.도|거.두.고|가.죽.은|이.렇.게|다.듬.어.서|말.린.거|다.듬
실로 꼬매가지고 연결해서 옷도 만들어 입고 집도 만들고 했	실.로|꼬.매.가.지.고|연.결.해.서|옷.도|만.들.어|입.고|집.도|만.들.고|했
여기 판에다가 데고 화살 연습도 하고 토끼 잡는 연습도 하	여.기|판.에.다.가|데.고|화.살|연.습.도|하.고|토.끼|잡.는|연.습.도|하
항상 나쁜 사람들이 들어오지 않나 이렇게 감시도 하고 들소 사냥도 가서 열심히 남자 어른들은 소도 잡아오	항.상|나.쁜|사.람.들.이|들.어.오.지|않.나|이.렇.게|감.시.도|하.고|들.소|사.냥.도|가.서|열.심.히|남.자|어.른.들.은|소.도|잡.아.오
말타기 연습도 하고 음식도 만들고 집안에는 요렇게 따뜻하게 작은 난로가 있	말.타.기|연.습.도|하.고|음.식.도|만.들.고|집.안.에.는|요.렇.게|따.뜻.하.게|작.은|난.로.가|있
오 애기도 있	오|애.기.도|있
애기는 춥지 않게 가죽으로 된 옷에 쏙 들어간	애.기.는|춥.지|않.게|가.죽.으.로|된|옷.에|쏙|들.어.간
재미있었겠	재.미.있.었.겠
재미도 있고 불편하기도 하고 그랬겠다 그렇	재.미.도|있.고|불.편.하.기.도|하.고|그.랬.겠.다|그.렇
호호호 호호호호 호호호호호호 호호	호.호.호|호.호.호.호|호.호.호.호.호.호|호.호
오	오
호호	호.호
이거 옛날 우리나라 사람이 조선시대	이.거|옛.날|우.리.나.라|사.람.이|조.선.시.대
아줌마가 과일 바구니를 이고 간	아.줌.마.가|과.일|바.구.니.를|이.고|간
세윤이 연이의 설맞이에서 봤	세.윤.이|연.이.의|설.맞.이.에.서|봤
요렇게 한복 입고 과일 사가지고 팔러가시는 건지 모르겠지만 과일 바구니늘 갖고 가시	요.렇.게|한.복|입.고|과.일|사.가.지.고|팔.러.가.시.는|건.지|모.르.겠.지.만|과.일|바.구.니.늘|갖.고|가.시
인디언 추장	인.디.언|추.장
인디언들이 살았던 가죽집 티피 가죽 천	인.디.언.들.이|살.았.던|가.죽.집|티.피|가.죽|천
만들어 줄	만.들.어|줄
엄마가 다시 폈는	엄.마.가|다.시|폈.는
뜸뜸뜸뜸뜸 룰루루루	뜸.뜸.뜸.뜸.뜸|룰.루.루.루
자 우와 멋지	자|우.와|멋.지
왕관같	왕.관.같
그래 왕관 같이 생기기도 했	그.래|왕.관|같.이|생.기.기.도|했
티피 왕관이	티.피|왕.관.이
엄마도 써 	엄.마.도|써.|
알았	알.았
우와 세윤이가 엄마 왕관도 줬	우.와|세.윤.이.가|엄.마|왕.관.도|줬
엄마 예	엄.마|예
아 우리 아들 최	아|우.리|아.들|최
으아악 꽈	으.아.악|꽈
세윤아 집에 오니까 뭐가 제일 좋	세.윤.아|집.에|오.니.까|뭐.가|제.일|좋
이거 만드는게 제일 좋	이.거|만.드.는.게|제.일|좋
어 그건 뭐	어|그.건|뭐
그거는 기와	그.거.는|기.와
기와	기.와
옛날 우리나라 기와	옛.날|우.리.나.라|기.와
근데 그거 닦아야 해 먼지가 너무 많	근.데|그.거|닦.아.야|해|먼.지.가|너.무|많
엄마가 먼지 닦아줄	엄.마.가|먼.지|닦.아.줄
세윤아 여기 있	세.윤.아|여.기|있
우리 나라의 기와	우.리|나.라.의|기.와
사라질 때까	사.라.질|때.까
우와 생각하세요도 읽었	우.와|생.각.하.세.요.도|읽.었
우와 자 이제 읽어 볼까	우.와|자|이.제|읽.어|볼.까
이거 먼저 읽을 건가	이.거|먼.저|읽.을|건.가
제목이 뭐지	제.목.이|뭐.지
알았	알.았
응 열기구 나라에 간 마르	응|열.기.구|나.라.에|간|마.르
쇼	쇼
네 집	네|집
사는 주황색 암소에	사.는|주.황.색|암.소.에
애래 	애.래.|
마르타는 하늘을 떠 다니는 열기구가 정말 신기해 보였어	마.르.타.는|하.늘.을|떠|다.니.는|열.기.구.가|정.말|신.기.해|보.였.어
구름과 함께 춤을 추는 저런 기발한 물건을 누가 만들었을	구.름.과|함.께|춤.을|추.는|저.런|기.발.한|물.건.을|누.가|만.들.었.을
저	저
어 소들이 아이스크림을 먹고 있	어|소.들.이|아.이.스.크.림.을|먹.고|있
어디에서 오고 어디로 가는 걸까 마르타는 생각했어	어.디.에.서|오.고|어.디.로|가.는|걸.까|마.르.타.는|생.각.했.어
응 	응.|
응 	응.|
걸	걸
세윤이 요즘 글씨가 알아서 재미있구	세.윤.이|요.즘|글.씨.가|알.아.서|재.미.있.구
음	음
이제 책 읽고 글씨 공부는 또 나중에 하	이.제|책|읽.고|글.씨|공.부.는|또|나.중.에|하
뒤	뒤
사라	사.라
에	에
을 떼지 못했어	을|떼.지|못.했.어
저기에 저렇게 높은 산이 있었는데 왜 지금까지 몰랐을	저.기.에|저.렇.게|높.은|산.이|있.었.는.데|왜|지.금.까.지|몰.랐.을
마르타는 생각했어	마.르.타.는|생.각.했.어
그날 저녁 친구들은 모두 인형을 끌어안고 잠을 잤어	그.날|저.녁|친.구.들.은|모.두|인.형.을|끌.어.안.고|잠.을|잤.어
하지만 마르타를 떠날 준비를 했지	하.지.만|마.르.타.를|떠.날|준.비.를|했.지
칫솔 뿔 수세미 휴지 몇 장 그리고 소를 위한 잡지도 넣었어	칫.솔|뿔|수.세.미|휴.지|몇|장|그.리.고|소.를|위.한|잡.지.도|넣.었.어
치약 아니야 치	치.약|아.니.야|치
이 닦으려고 칫솔이랑 치약을 넣었나 	이|닦.으.려.고|칫.솔.이.랑|치.약.을|넣.었.나.|
갈아입을 	갈.아.입.을.|
그것도 갈아입을 옷이 아닐	그.것.도|갈.아.입.을|옷.이|아.닐
다음 날 아	다.음|날|아
마르타는 핀쇼 아저씨와 친구들에게 여행을 떠나겠다고 말했어	마.르.타.는|핀.쇼|아.저.씨.와|친.구.들.에.게|여.행.을|떠.나.겠.다.고|말.했.어
그러자 친구들이 놀라서 말했어	그.러.자|친.구.들.이|놀.라.서|말.했.어
여행이라고 말도 안 	여.행.이.라.고|말.도|안.|
그래 여행 나는 저 산 너머에 있는 열기구 나라에 갈 거	그.래|여.행|나.는|저|산|너.머.에|있.는|열.기.구|나.라.에|갈|거
마르타가 들 뜬 목소리로 말했어	마.르.타.가|들|뜬|목.소.리.로|말.했.어
핀쇼 아저씨는 걱정이 되어서 마르타를 타일렀어	핀.쇼|아.저.씨.는|걱.정.이|되.어.서|마.르.타.를|타.일.렀.어
마르타야 이렇게 여행을 떠나면 아주 위험하단	마.르.타.야|이.렇.게|여.행.을|떠.나.면|아.주|위.험.하.단
게다가 너는 한번도 여행을 가본 적이 없으니까 더 위험	게.다.가|너.는|한.번.도|여.행.을|가.본|적.이|없.으.니.까|더|위.험
하지만 마르타는 핀쇼 아저씨의 말을 듣지 않았어	하.지.만|마.르.타.는|핀.쇼|아.저.씨.의|말.을|듣.지|않.았.어
오히려 핀쇼 아저씨의 낡고 녹	오.히.려|핀.쇼|아.저.씨.의|낡.고|녹
밭인가 본대 	밭.인.가|본.대.|
트랙터까지 빌렸대	트.랙.터.까.지|빌.렸.대
여행길에 오른 마르타는 갈림길에 이르렀어	여.행.길.에|오.른|마.르.타.는|갈.림.길.에|이.르.렀.어
마르타는 어디로 가야 할지 몰랐어	마.르.타.는|어.디.로|가.야|할.지|몰.랐.어
마	마
이쪽은 역으로 가는 길이고 이쪽은 바다로 가는 길이라	이.쪽.은|역.으.로|가.는|길.이.고|이.쪽.은|바.다.로|가.는|길.이.라
화살표 해 놨	화.살.표|해|놨
맞았	맞.았
이게 세 글자 붙인 게 아니고 길 표시에 이쪽으로 쭉 가면 바다가 나오	이.게|세|글.자|붙.인|게|아.니.고|길|표.시.에|이.쪽.으.로|쭉|가.면|바.다.가|나.오
이쪽으로 쭉 가면은 역 기차역 지하철역 같은 역이 나온다	이.쪽.으.로|쭉|가.면.은|역|기.차.역|지.하.철.역|같.은|역.이|나.온.다
표지판에 표시해 놓은 거	표.지.판.에|표.시.해|놓.은|거
이걸 같이 세 개 읽는 게 아니	이.걸|같.이|세|개|읽.는|게|아.니
떨어져 있지 글씨가 세윤아 붙어 있는 게 아니	떨.어.져|있.지|글.씨.가|세.윤.아|붙.어|있.는|게|아.니
풀로푸	풀.로.푸
블루포	블.루.포
포	포
세윤이 아직 안 배운 글자라 힘들	세.윤.이|아.직|안|배.운|글.자.라|힘.들
와와와	와.와.와
마르타	마.르.타
아 들켜버렸	아|들.켜.버.렸
하품이 나와서 엄마도 모르게 와와와와와 해버렸	하.품.이|나.와.서|엄.마.도|모.르.게|와.와.와.와.와|해.버.렸
어떻게 알았지 엄마도 인디언 흉내 좀 내 봤	어.떻.게|알.았.지|엄.마.도|인.디.언|흉.내|좀|내|봤
그런데 어떻게 하지	그.런.데|어.떻.게|하.지
마르타는 큰 나무 밑에서 길을 잃어버리고 말았어	마.르.타.는|큰|나.무|밑.에.서|길.을|잃.어.버.리.고|말.았.어
마르타는 나뭇가지에 앉아 졸고 있는 올빼미에게 길을 물어 보았어	마.르.타.는|나.뭇.가.지.에|앉.아|졸.고|있.는|올.빼.미.에.게|길.을|물.어|보.았.어
올빼미가 걱정스럽게 말했어	올.빼.미.가|걱.정.스.럽.게|말.했.어
아 열기구 나	아|열.기.구|나
열기구 나라는 저 앞 쪽 산 너머에 있	열.기.구|나.라.는|저|앞|쪽|산|너.머.에|있
그런데 지금까지 아무도 그 산을 넘지 못했단	그.런.데|지.금.까.지|아.무.도|그|산.을|넘.지|못.했.단
하지만 마르타는 그 어떤 것에도 끄덕하지 않았어	하.지.만|마.르.타.는|그|어.떤|것.에.도|끄.덕.하.지|않.았.어
커다란 산 앞에서도 말이에	커.다.란|산|앞.에.서.도|말.이.에
그래 십	그.래|십
하지	하.지
어	어
것에도 끄덕하지 않았어	것.에.도|끄.덕.하.지|않.았.어
마르타는 산꼭대기를 향해서 힘차게 달렸어	마.르.타.는|산.꼭.대.기.를|향.해.서|힘.차.게|달.렸.어
암벽도 문제 없었어	암.벽.도|문.제|없.었.어
마르타는 힘든 것도 잊은 채 입에는 꽃을 물	마.르.타.는|힘.든|것.도|잊.은|채|입.에.는|꽃.을|물
그래 토끼 두 마리가 마르타를 지켜보고 있	그.래|토.끼|두|마.리.가|마.르.타.를|지.켜.보.고|있
씩씩하게 산을 올랐어	씩.씩.하.게|산.을|올.랐.어
드디어 산꼭대기에 이르	드.디.어|산.꼭.대.기.에|이.르
환상적인 열기구 나라가 눈 앞에 펼쳐졌어	환.상.적.인|열.기.구|나.라.가|눈|앞.에|펼.쳐.졌.어
세윤이 코끼리 열기구 타고 싶	세.윤.이|코.끼.리|열.기.구|타.고|싶
엄마는 이 이상한 동물 열기구 재미있을 것 같아 웃기	엄.마.는|이|이.상.한|동.물|열.기.구|재.미.있.을|것|같.아|웃.기
세윤이는 코끼리 열기구 	세.윤.이.는|코.끼.리|열.기.구.|
열기구 나라	열.기.구|나.라
두 개 타 볼 거	두|개|타|볼|거
좋	좋
알았어 좋	알.았.어|좋
그러게 뭐 네모난 상자 열기구도 있었는	그.러.게|뭐|네.모.난|상.자|열.기.구.도|있.었.는
종류가 아주 다양	종.류.가|아.주|다.양
텔레비전 어 그래 그런 것 같기도 하	텔.레.비.전|어|그.래|그.런|것|같.기.도|하
얼마 후 핀쇼 아저씨와 친구들은 마르타에게	얼.마|후|핀.쇼|아.저.씨.와|친.구.들.은|마.르.타.에.게
엽서 한 장을 받았어	엽.서|한|장.을|받.았.어
애들아 나는 열기구 나라에 잘 도착했	애.들.아|나.는|열.기.구|나.라.에|잘|도.착.했
여기는 정말 아름다운 곳이란	여.기.는|정.말|아.름.다.운|곳.이.란
나는 열기구도 타봤는데 아주 좋았	나.는|열.기.구.도|타.봤.는.데|아.주|좋.았
열기구를 타고 다니며 여러 가지 세상을 발견했	열.기.구.를|타.고|다.니.며|여.러|가.지|세.상.을|발.견.했
좋은 친구들도 많이 만났단	좋.은|친.구.들.도|많.이|만.났.단
애들아 사랑해 그럼 안녕 마르타로부	애.들.아|사.랑.해|그.럼|안.녕|마.르.타.로.부
칠레 이스터섬에서 만난 친구	칠.레|이.스.터.섬.에.서|만.난|친.구
세윤이 그	세.윤.이|그
우주베키스탄에서 만난 친구	우.주.베.키.스.탄.에.서|만.난|친.구
그것도 맘에 들	그.것.도|맘.에|들
에스파냐 안달루시아 지방에서 만난 친구	에.스.파.냐|안.달.루.시.아|지.방.에.서|만.난|친.구
극서부 지방에서 만난 친	극.서.부|지.방.에.서|만.난|친
이	이
얘기해 줬잖	얘.기.해|줬.잖
이거는 사하라 사막에서 만난 친	이.거.는|사.하.라|사.막.에.서|만.난|친
그게 맘에 들	그.게|맘.에|들
인도 폰디쉐리에서 만난 친구	인.도|폰.디.쉐.리.에.서|만.난|친.구
페루에서 만난 친	페.루.에.서|만.난|친
칠레의 혼곳에서 만난 친구	칠.레.의|혼.곳.에.서|만.난|친.구
다 읽었	다|읽.었
어 세윤이가 타고 싶어 했던 거잖	어|세.윤.이.가|타.고|싶.어|했.던|거.잖
여기 세윤이가 타고 있는 거 아니	여.기|세.윤.이.가|타.고|있.는|거|아.니
이번에는 뭘 볼까	이.번.에.는|뭘|볼.까
이게 뭐	이.게|뭐
어 세윤이 이거 배웠는	어|세.윤.이|이.거|배.웠.는
릴리가 어린이집에 가는 	릴.리.가|어.린.이.집.에|가.는.|
나는 릴리야 오늘은 처음으로 어린이집에 가는 날이	나.는|릴.리.야|오.늘.은|처.음.으.로|어.린.이.집.에|가.는|날.이
세윤이도 유치원 처음 갔던 날 생각나	세.윤.이.도|유.치.원|처.음|갔.던|날|생.각.나
릴리도 부끄러웠대 걱정 되	릴.리.도|부.끄.러.웠.대|걱.정|되
부끄러	부.끄.러
걱정 마 릴리야 우리가 있잖	걱.정|마|릴.리.야|우.리.가|있.잖
선생님이 웃옷을 벗으라고 했	선.생.님.이|웃.옷.을|벗.으.라.고|했
모두들 웃옷을 벗어서 여기 걸어놓았는데 릴리가 어디 갔	모.두.들|웃.옷.을|벗.어.서|여.기|걸.어.놓.았.는.데|릴.리.가|어.디|갔
릴리야 이리 나와 부끄러워 하지	릴.리.야|이.리|나.와|부.끄.러.워|하.지
이제 우리는 그림을 그릴 거	이.제|우.리.는|그.림.을|그.릴|거
릴리야 이리 나와 부끄러워 하지	릴.리.야|이.리|나.와|부.끄.러.워|하.지
물	물
그림 그리는 시간이잖	그.림|그.리.는|시.간.이.잖
지금은 놀이시간이야 릴리야 이리 나와 부끄러워 하지	지.금.은|놀.이.시.간.이.야|릴.리.야|이.리|나.와|부.끄.러.워|하.지
공	공
그거 갖고 놀고 싶	그.거|갖.고|놀.고|싶
세윤이 좋아하는 장난감이 그렇게 많	세.윤.이|좋.아.하.는|장.난.감.이|그.렇.게|많
우	우
이제 우리는 선생님이 들려주는 이야기를 들을 거	이.제|우.리.는|선.생.님.이|들.려.주.는|이.야.기.를|들.을|거
어 릴리가 어디 갔	어|릴.리.가|어.디|갔
열어 	열.어.|
릴리야 이리 나와 부끄러워 하지	릴.리.야|이.리|나.와|부.끄.러.워|하.지
그러	그.러
그리고 지금은 연극놀이 시간이	그.리.고|지.금.은|연.극.놀.이|시.간.이
어 릴리가 연극놀이 상자에 있	어|릴.리.가|연.극.놀.이|상.자.에|있
어 릴리가 없	어|릴.리.가|없
릴리가 어디 갔	릴.리.가|어.디|갔
나 여기 있지 참 재미있다 나는 어린이집이 좋	나|여.기|있.지|참|재.미.있.다|나.는|어.린.이.집.이|좋
세윤이도 이제 유치원이 좋아졌어	세.윤.이.도|이.제|유.치.원.이|좋.아.졌.어
세윤이가 읽어 줄 거	세.윤.이.가|읽.어|줄|거
어디 우리 아들이 얼마나 재미있게 읽어주나 한번 들어볼	어.디|우.리|아.들.이|얼.마.나|재.미.있.게|읽.어.주.나|한.번|들.어.볼
그래 오	그.래|오
병아	병.아
그거 손수레 아니야 손수	그.거|손.수.레|아.니.야|손.수
왜 시골에서 할머니 할아버지가 뭐 뭐 여러 가지 뭐 야채나 이런 	왜|시.골.에.서|할.머.니|할.아.버.지.가|뭐|뭐|여.러|가.지|뭐|야.채.나|이.런.|
실을 때 끌고 다니는 손수	실.을|때|끌.고|다.니.는|손.수
할머니가 똥차라고 부르는 거 있잖아 외 발 손수	할.머.니.가|똥.차.라.고|부.르.는|거|있.잖.아|외|발|손.수
근데 이거는 외 발은 아니다 바퀴가 여러 개 있으니	근.데|이.거.는|외|발.은|아.니.다|바.퀴.가|여.러|개|있.으.니
엄마가 수수께끼 내볼까 세윤이가 그냥 보고 있을 거	엄.마.가|수.수.께.끼|내.볼.까|세.윤.이.가|그.냥|보.고|있.을|거
알았	알.았
나는 알에서 태어났다 내 몸은 노란색이	나.는|알.에.서|태.어.났.다|내|몸.은|노.란.색.이
쫄랑쫄랑 잘 돌아다닌단다 다리는 두 개이고 입은 뾰족	쫄.랑.쫄.랑|잘|돌.아.다.닌.단.다|다.리.는|두|개.이.고|입.은|뾰.족
삐약삐약 노래도 잘 불러 나는 나는 누구일	삐.약.삐.약|노.래.도|잘|불.러|나.는|나.는|누.구.일
딩동	딩.동
나는 날개가 있어 다리는 여섯 개	나.는|날.개.가|있.어|다.리.는|여.섯|개
달콤한 꿀을 좋아해 거꾸로 매달린 집에서 살	달.콤.한|꿀.을|좋.아.해|거.꾸.로|매.달.린|집.에.서|살
