누구니 이사람	누.구.니|이.사.람
으응 그러면 엄마 아프면은 요렇게 해 줄거니	으.응|그.러.면|엄.마|아.프.면.은|요.렇.게|해|줄.거.니
응 그래	응|그.래
착하네	착.하.네
그러면은 지원이는 놀때 어떤 놀이를 하니	그.러.면.은|지.원.이.는|놀.때|어.떤|놀.이.를|하.니
으응	으.응
뭐	뭐
체물	체.물
그게 뭔데	그.게|뭔.데
으응	으.응
그래	그.래
인형 놀이도 하지	인.형|놀.이.도|하.지
그 다음에 또 어떤거 해	그|다.음.에|또|어.떤.거|해
지원이 어떤거 하고 놀아	지.원.이|어.떤.거|하.고|놀.아
녹음하는 것도 놀고	녹.음.하.는|것.도|놀.고
또	또
또 또 어떤거 하고 놀아	또|또|어.떤.거|하.고|놀.아
피도 보구	피.도|보.구
으응 그 다음에 이거 빵빵도 타고	으.응|그|다.음.에|이.거|빵.빵.도|타.고
어구 그 다음에 또 뭐 하고 놀아	어.구|그|다.음.에|또|뭐|하.고|놀.아
엄마가 다시 해 주께 엄마가 껌 주께 이거 하고 나면 	엄.마.가|다.시|해|주.께|엄.마.가|껌|주.께|이.거|하.고|나.면
응	응
응	응
그 다음에 또 뭐 갖고 놀아	그|다.음.에|또|뭐|갖.고|놀.아
지원이는	지.원.이.는
오	오
빵빵 하기도 하고	빵.빵|하.기.도|하.고
우유통 갖고도 놀고	우.유.통|갖.고.도|놀.고
음 우유통은 갖고 놀아	음|우.유.통.은|갖.고|놀.아
우유 먹는게 아니고	우.유|먹.는.게|아.니.고
오	오
그다음에 또	그.다.음.에|또
그래	그.래
그게 무슨 소리인줄 모르겠지만 	그.게|무.슨|소.리.인.줄|모.르.겠.지.만
헤헤	헤.헤
온 종일 잊어 버리지도 않고 껌 주세요	온|종.일|잊.어|버.리.지.도|않.고|껌|주.세.요
헤헤	헤.헤
껌 주세요	껌|주.세.요
지원아	지.원.아
지원아	지.원.아
예 그래야지	예|그.래.야.지
저기 지금 뭐 먹니	저.기|지.금|뭐|먹.니
껌 먹어	껌|먹.어
맛있어	맛.있.어
껌 맛있어	껌|맛.있.어
여기 앉아서 먹어야지 저기 녹음도 되지	여.기|앉.아.서|먹.어.야.지|저.기|녹.음.도|되.지
먹는 소리 도 그치	먹.는|소.리|도|그.치
껌 데요	껌|데.요
그 다음에 지원이 또 그러면 이번에는 뭐 볼까	그|다.음.에|지.원.이|또|그.러.면|이.번.에.는|뭐|볼.까
요거 누구니	요.거|누.구.니
말로 해 찾으러 안 가도 돼	말.로|해|찾.으.러|안|가.도|돼
꼬꼬댁	꼬.꼬.댁
요기 있다	요.기|있.다
음 꼬꼬댁이지	음|꼬.꼬.댁.이.지
이거 뭐니 지원아	이.거|뭐.니|지.원.아
새	새
음	음
태극기	태.극.기
얘는 누구야	얘.는|누.구.야
으음 하고 있어	으.음|하.고|있.어
얘는	얘.는
멍이 제일 예뻐	멍.이|제.일|예.뻐
얘는	얘.는
음	음
그래	그.래
그 다음에	그|다.음.에
옛날 할아버지 할머니가 사시던 초가집	옛.날|할.아.버.지|할.머.니.가|사.시.던|초.가.집
이거는 할아버지 집이 래	이.거.는|할.아.버.지|집.이|래
지원이 집은 어디있어	지.원.이|집.은|어.디.있.어
오	오
저거야	저.거.야
레고로 만든게 찐 집이야	레.고.로|만.든.게|찐|집.이.야
음 요거는 할머니 집	음|요.거.는|할.머.니|집
요게 뭐냐	요.게|뭐.냐
누구니 이 사람	누.구.니|이|사.람
음	음
요거는	요.거.는
엄마	엄.마
둘이 뭐하니	둘.이|뭐.하.니
으응	으.응
응	응
물 먹고 있어	물|먹.고|있.어
응	응
물 시원해	물|시.원.해
으응 	으.응
물 드셔	물|드.셔
요건 뭐야	요.건|뭐.야
음 발에 신는건데 그걸 뭐라고 그래	음|발.에|신.는.건.데|그.걸|뭐.라.고|그.래
음 그걸 신발이라고 그래요	음|그.걸|신.발.이.라.고|그.래.요
신발	신.발
그다음에 그럼 요건 뭐니	그.다.음.에|그.럼|요.건|뭐.니
응 찐이 맘마	응|찐.이|맘.마
야옹이가 찐 맘마야	야.옹.이.가|찐|맘.마.야
음 얘는	음|얘.는
그게 무슨 소리인데	그.게|무.슨|소.리.인.데
푸이 하고 있어	푸.이|하.고|있.어
오	오
이게 뭐니	이.게|뭐.니
찐 아기	찐|아.기
으 	으
으 아빠 엄마고	으|아.빠|엄.마.고
찐 아기가 태어났어	찐|아.기.가|태.어.났.어
오오 뭐해 이 아기	오.오|뭐.해|이|아.기
왱	왱
하고있어	하.고.있.어
왜 왱	왜|왱
해	해
찌 달라고	찌|달.라.고
응	응
지	지
으응 	으.응
아퍼	아.퍼
응 얘 누구니	응|얘|누.구.니
꼼마다	꼼.마.다
꼼	꼼
요거는	요.거.는
꼼마야	꼼.마.야
으응 얘는	으.응|얘.는
그랬대 요건	그.랬.대|요.건
어 아빠 빵 꼼꼼	어|아.빠|빵|꼼.꼼
무슨 말인지 모르겠지만 하여튼 그래요	무.슨|말.인.지|모.르.겠.지.만|하.여.튼|그.래.요
오	오
이건 뭐니	이.건|뭐.니
뭐 하는 건데	뭐|하.는|건.데
으응	으.응
녹음기로 인제 하는거야	녹.음.기.로|인.제|하.는.거.야
이거 찐이 태 들고 어디 가니	이.거|찐.이|태|들.고|어.디|가.니
태극기 들고 어디 가니	태.극.기|들.고|어.디|가.니
아이구 좋아라 국경일이라는 거는 삼일절에는 태극기를 들고 만세 하는거래	아.이.구|좋.아.라|국.경.일.이.라.는|거.는|삼.일.절.에.는|태.극.기.를|들.고|만.세|하.는.거.래
개 천절에는 뭐 했나	개|천.절.에.는|뭐|했.나
꼼도 나오고 호랭이도 나왔네	꼼.도|나.오.고|호.랭.이.도|나.왔.네
응 요거 뭐니	응|요.거|뭐.니
응	응
아이 너는 오늘은 말 같은 말을 도무지 안 하구나	아.이|너.는|오.늘.은|말|같.은|말.을|도.무.지|안|하.구.나
꽃이다 	꽃.이.다
응 그래	응|그.래
멍멍이도 으흠 그러니	멍.멍.이.도|으.흠|그.러.니
아니야	아.니.야
응 얘는 으흠 이구	응|얘.는|으.흠|이.구
근데 얘는 유철이 같이 생겼는데	근.데|얘.는|유.철.이|같.이|생.겼.는.데
으흠야	으.흠.야
유철이 같은데	유.철.이|같.은.데
응 이건 멍이구	응|이.건|멍.이.구
유철인데	유.철.인.데
유철인데	유.철.인.데
그래	그.래
으응 지원이가 맞나보다	으.응|지.원.이.가|맞.나.보.다
야	야
얘 맘마 많이 먹는다 지원이도 맘마 먹으까	얘|맘.마|많.이|먹.는.다|지.원.이.도|맘.마|먹.으.까
달 걀 먹으까	달|걀|먹.으.까
책이 읽어	책.이|읽.어
맘마 안 먹고 책이	맘.마|안|먹.고|책.이
너 뭐 책장 넘긴다고 손가락에다 침까지 바르면 서 하니	너|뭐|책.장|넘.긴.다.고|손.가.락.에.다|침.까.지|바.르.면|서|하.니
누가 그랬어	누.가|그.랬.어
누가 이렇게 하디 응	누.가|이.렇.게|하.디|응
어쭈어쭈 아쭈	어.쭈.어.쭈|아.쭈
누가 이러디	누.가|이.러.디
응	응
누가 그랬 어	누.가|그.랬|어
얘 지원아 팬티 갖고 와봐 팬티	얘|지.원.아|팬.티|갖.고|와.봐|팬.티
내일	내.일
팬티도 내일 입을려구	팬.티.도|내.일|입.을.려.구
챙피 하잖아 지금은	챙.피|하.잖.아|지.금.은
으응	으.응
아이구 챙피 해라	아.이.구|챙.피|해.라
누구니 이게	누.구.니|이.게
아이 예쁘다 얘 누구니	아.이|예.쁘.다|얘|누.구.니
누군데	누.군.데
오 엄마 삐삐고 얜 찐 삐삐구	오|엄.마|삐.삐.고|얜|찐|삐.삐.구
아이구 엄마 삐삐는 닭이고 찐 삐삐는 병아리구	아.이.구|엄.마|삐.삐.는|닭.이.고|찐|삐.삐.는|병.아.리.구
어이구 맞았어요 그러면 얘는 누 구니	어.이.구|맞.았.어.요|그.러.면|얘.는|누|구.니
야옹 	야.옹
얘 여기 또 많다 이거 뭐니	얘|여.기|또|많.다|이.거|뭐.니
지원아 응	지.원.아|응
자전거다	자.전.거.다
지원이 자전거 있 지 어디 있어	지.원.이|자.전.거|있|지|어.디|있.어
응 저거 지원이 자전거	응|저.거|지.원.이|자.전.거
이건 뭐 같니	이.건|뭐|같.니
응 요건 뭐 같니	응|요.건|뭐|같.니
응 비행기 꼬다리 요거는 뭐 같니	응|비.행.기|꼬.다.리|요.거.는|뭐|같.니
응	응
요건 뭐 같애	요.건|뭐|같.애
해비 엄마 아빠 생일	해.비|엄.마|아.빠|생.일
무슨 말인지 엄마는 모르겠네	무.슨|말.인.지|엄.마.는|모.르.겠.네
응 지원이 생일날 후 했다구	응|지.원.이|생.일.날|후|했.다.구
지원이는 생일이 맨날 있으면 좋겠네	지.원.이.는|생.일.이|맨.날|있.으.면|좋.겠.네
응	응
으응 여기 칼 있네 칼	으.응|여.기|칼|있.네|칼
이거는	이.거.는
비행기가 떳다	비.행.기.가|떳.다
또 있다	또|있.다
응 비행기가 또 있다	응|비.행.기.가|또|있.다
이거는	이.거.는
응 찐 자전거 이거는	응|찐|자.전.거|이.거.는
전철 그래 뻐스는 전철 같이 보이네	전.철|그.래|뻐.스.는|전.철|같.이|보.이.네
아이 지원이 전철 타 봤어	아.이|지.원.이|전.철|타|봤.어
언제	언.제
누구랑 탔어	누.구.랑|탔.어
할머니랑	할.머.니.랑
엄마랑 탔는데	엄.마.랑|탔.는.데
응 할머니랑 전철 탔어	응|할.머.니.랑|전.철|탔.어
응	응
으응 엄마 삐삐에 찐 삐삐에 찐 아기가 뽀뽀 했어	으.응|엄.마|삐.삐.에|찐|삐.삐.에|찐|아.기.가|뽀.뽀|했.어
으응 다시 한 번 해봐 그거	으.응|다.시|한|번|해.봐|그.거
또 한번 이거 보고 말 해봐	또|한.번|이.거|보.고|말|해.봐
이거 뭐야	이.거|뭐.야
아빠 서 쉬 했대	아.빠|서|쉬|했.대
엄마는	엄.마.는
엄마 앉어	엄.마|앉.어
엄마 서 앉어	엄.마|서|앉.어
엄마는 어떻해	엄.마.는|어.떻.해
다시 말해 봐	다.시|말.해|봐
으응 앉어서 쉬 하고	으.응|앉.어.서|쉬|하.고
응	응
응	응
응	응
처	처
그거 아빠야	그.거|아.빠.야
누구야	누.구.야
찐이야	찐.이.야
응	응
찐이는 어떻게 쉬 해	찐.이.는|어.떻.게|쉬|해
서서 쉬해	서.서|쉬.해
야 찐이야 이거 뭐니	야|찐.이.야|이.거|뭐.니
으응 이거는	으.응|이.거.는
철이구	철.이.구
철이 오빠고 멍멍이고 이거는	철.이|오.빠.고|멍.멍.이.고|이.거.는
으응 철이 오빠가 거기도 또 있어	으.응|철.이|오.빠.가|거.기.도|또|있.어
그래 그래 맞았어	그.래|그.래|맞.았.어
응 요것도 철이 오빠구	응|요.것.도|철.이|오.빠.구
응 요건 찐이구	응|요.건|찐.이.구
응	응
응 생일 누구 생일	응|생.일|누.구|생.일
으응 찐 생일 날 우아아아 하고 노래 했어	으.응|찐|생.일|날|우.아.아.아|하.고|노.래|했.어
그리고 또 뭐 했어	그.리.고|또|뭐|했.어
응 그러고 또 뭐 했어	응|그.러.고|또|뭐|했.어
바다	바.다
바다가 뭔데	바.다.가|뭔.데
응 바둑도 했어	응|바.둑.도|했.어
생일 날 바둑 안 한거 같은데 	생.일|날|바.둑|안|한.거|같.은.데
진이는 뭐가 되고 싶다고	진.이.는|뭐.가|되.고|싶.다.고
으응 의사 그림을 또 가리켰어요	으.응|의.사|그.림.을|또|가.리.켰.어.요
아이구 고생 문이 훤 하겠군	아.이.구|고.생|문.이|훤|하.겠.군
아빠가 배에다 어떻게 했어	아.빠.가|배.에.다|어.떻.게|했.어
배 아퍼	배|아.퍼
엄마는	엄.마.는
어디 아퍼	어.디|아.퍼
배가 아퍼	배.가|아.퍼
요기 배 아퍼	요.기|배|아.퍼
찌원이는	찌.원.이.는
찌원이 어디 아퍼	찌.원.이|어.디|아.퍼
안 아퍼	안|아.퍼
아가는 왜 울어	아.가.는|왜|울.어
왜 우는데	왜|우.는.데
너는 발가락에 난 뭐가 아프니	너.는|발.가.락.에|난|뭐.가|아.프.니
응	응
이건 뭐니 지원아	이.건|뭐.니|지.원.아
이거 하고	이.거|하.고
있네 요기다	있.네|요.기.다
이거 하고	이.거|하.고
응 응 그게 어떻다고	응|응|그.게|어.떻.다.고
응 또 까비 	응|또|까.비
똑 같애 똑 같애	똑|같.애|똑|같.애
응 또 뭐 찾는데	응|또|뭐|찾.는.데
오	오
그래 그래 아이구 이 척척 박사 아가씨 너는 똑 같은 거 찾는 데 으응 껍질에 이 똑같은 게 또 있었구나 	그.래|그.래|아.이.구|이|척.척|박.사|아.가.씨|너.는|똑|같.은|거|찾.는|데|으.응|껍.질.에|이|똑.같.은|게|또|있.었.구.나
응 이게 뭐야	응|이.게|뭐.야
또꼬	또.꼬
똑 같애	똑|같.애
이거 할머니야	이.거|할.머.니.야
누구야	누.구.야
암 	암
아줌마야	아.줌.마.야
응 	응
아빠고	아.빠.고
아빠 또 있대	아.빠|또|있.대
또 있지	또|있.지
또 있다 아빠 또 있다	또|있.다|아.빠|또|있.다
요거는	요.거.는
요건 누구야	요.건|누.구.야
응 엄마 배 하는 거야	응|엄.마|배|하.는|거.야
이거는	이.거.는
응	응
샤이	샤.이
요거 뭐니	요.거|뭐.니
주사 꼭 하는 거야 주사 바늘이네	주.사|꼭|하.는|거.야|주.사|바.늘.이.네
요건 어디 있니	요.건|어.디|있.니
진이야 이거 어디 있니	진.이.야|이.거|어.디|있.니
이 그림 찾아 봐	이|그.림|찾.아|봐
요기	요.기
응 아빠 고기 있대	응|아.빠|고.기|있.대
응 요거는	응|요.거.는
찐이가 뭐 먹니	찐.이.가|뭐|먹.니
물	물
요거 있어	요.거|있.어
찐 어디 아퍼	찐|어.디|아.퍼
눈이 아퍼	눈.이|아.퍼
그게 찐 꺼야	그.게|찐|꺼.야
이거 찐 뭐니	이.거|찐|뭐.니
이게 뭐니	이.게|뭐.니
지원아 응	지.원.아|응
찐 책이야	찐|책.이.야
으응 	으.응
찐 책	찐|책
찐 책이가 아니라 찐 책	찐|책.이.가|아.니.라|찐|책
책이야	책.이.야
하하 넌 참 희한하게 말 한다 꼼도 꼼마고	하.하|넌|참|희.한.하.게|말|한.다|꼼.도|꼼.마.고
응 엄마 삐삐 찐 삐삐	응|엄.마|삐.삐|찐|삐.삐
찐 아기 뻐꾹	찐|아.기|뻐.꾹
그게 무슨 뜻이 있는거 같긴 한데 무슨 소린지 모르겠네 	그.게|무.슨|뜻.이|있.는.거|같.긴|한.데|무.슨|소.린.지|모.르.겠.네
우유통에다 우유를 척 넣지	우.유.통.에.다|우.유.를|척|넣.지
응	응
이거 뭐라구	이.거|뭐.라.구
찐 아기가 뻑꾹 했어	찐|아.기.가|뻑.꾹|했.어
찐 아기가 이 병아리 말하는 거구 뻑꾹은	찐|아.기.가|이|병.아.리|말.하.는|거.구|뻑.꾹.은
으응 병아리하고 닭을 보고 엄마 삐삐 찐 삐삐 찐 아기 뻐꾹 그게 무슨 소릴 까	으.응|병.아.리.하.고|닭.을|보.고|엄.마|삐.삐|찐|삐.삐|찐|아.기|뻐.꾹|그.게|무.슨|소.릴|까
응 빵이다 이거 빵빵 지원이 빵빵 타봤어	응|빵.이.다|이.거|빵.빵|지.원.이|빵.빵|타.봤.어
누구 빵빵	누.구|빵.빵
아아 찐 빵빵 있다구	아.아|찐|빵.빵|있.다.구
으응 요기 어디 있어	으.응|요.기|어.디|있.어
찐 빵빵 가지러 가자구	찐|빵.빵|가.지.러|가.자.구
할머니 방에 있어 갖구 와 봐	할.머.니|방.에|있.어|갖.구|와|봐
빵빵 타구 나오세요 오 잘 타네 인제 어이구 잘 타네	빵.빵|타.구|나.오.세.요|오|잘|타.네|인.제|어.이.구|잘|타.네
빵빵에 아주 전문가처럼 타 네	빵.빵.에|아.주|전.문.가.처.럼|타|네
야 빵빵이 잘 탄다	야|빵.빵.이|잘|탄.다
응	응
고거 누구니	고.거|누.구.니
뭐	뭐
빠빵	빠.빵
아이구 녹음 그만 하자	아.이.구|녹.음|그.만|하.자
지원아 다 먹고 엄마랑 반상회 가자	지.원.아|다|먹.고|엄.마.랑|반.상.회|가.자
지원이 뭐 할거야 그럼	지.원.이|뭐|할.거.야|그.럼
맘맘 먹어	맘.맘|먹.어
엄마만 가	엄.마.만|가
그럼 지원이 혼자 있을거야 집에	그.럼|지.원.이|혼.자|있.을.거.야|집.에
오이 뭐 하고 있을거야	오.이|뭐|하.고|있.을.거.야
집에	집.에
피 보면서 집에 있을거야	피|보.면.서|집.에|있.을.거.야
왜 옆집 아줌마네 집에 가면 재밌잖아	왜|옆.집|아.줌.마.네|집.에|가.면|재.밌.잖.아
싫어	싫.어
가면 지원이 이쁘다 할텐데	가.면|지.원.이|이.쁘.다|할.텐.데
왜	왜
왜 그래	왜|그.래
맘 먹고 있대	맘|먹.고|있.대
으응	으.응
지원아 엄마 갈건데 어떡할래	지.원.아|엄.마|갈.건.데|어.떡.할.래
녹음하고 있어	녹.음.하.고|있.어
음 지원이도 가자	음|지.원.이.도|가.자
엄마랑	엄.마.랑
강곰 까까 이만큼 가 있대	강.곰|까.까|이.만.큼|가|있.대
아냐 까까 있어 거기 가면 	아.냐|까.까|있.어|거.기|가.면
어 돼지 같이 꿀꿀이같이 달걀을 먹네	어|돼.지|같.이|꿀.꿀.이.같.이|달.걀.을|먹.네
응	응
어이구 그 소리가 어디서 나오는 소리야	어.이.구|그|소.리.가|어.디.서|나.오.는|소.리.야
다 먹었어	다|먹.었.어
더 먹어야지	더|먹.어.야.지
맛 있어	맛|있.어
그랬어	그.랬.어
뭔 말을 안해서 또	뭔|말.을|안.해.서|또
지원아 빨리 가자	지.원.아|빨.리|가.자
응	응
다 먹었어	다|먹.었.어
응	응
어휴 그렇게 갑자기 달걀을 막 먹었어도 되니 응	어.휴|그.렇.게|갑.자.기|달.걀.을|막|먹.었.어.도|되.니|응
응	응
응 다 먹었어	응|다|먹.었.어
어이 무슨 도깨비 소리니	어.이|무.슨|도.깨.비|소.리.니
물 없어	물|없.어
물 있잖아	물|있.잖.아
지원아 인제 엄마랑 반상회 가자 	지.원.아|인.제|엄.마.랑|반.상.회|가.자
거기 가면 아줌마들이 까까 이만침 준대 요구 르트도 있대 수박도 있대 가까	거.기|가.면|아.줌.마.들.이|까.까|이.만.침|준.대|요.구|르.트.도|있.대|수.박.도|있.대|가.까
왜	왜
왜 안 갈라 그러니 지원아	왜|안|갈.라|그.러.니|지.원.아
응	응
까까 준대	까.까|준.대
응	응
엄마 가야 하는데 어떻게 해	엄.마|가.야|하.는.데|어.떻.게|해
그럼 지원이는	그.럼|지.원.이.는
지원이 집에 있을거야	지.원.이|집.에|있.을.거.야
혼자서	혼.자.서
응	응
가자 이제	가.자|이.제
가자	가.자
어어 괜찮아	어.어|괜.찮.아
말 해 지원이	말|해|지.원.이
응 지원이 이거 뭐야	응|지.원.이|이.거|뭐.야
응	응
응	응
아빠 손 붙잡고 와	아.빠|손|붙.잡.고|와
응	응
아빠 뭐 하시니 지금	아.빠|뭐|하.시.니|지.금
코테	코.테
아빠 방에 가서 코테요 그래	아.빠|방.에|가.서|코.테.요|그.래
응	응
너는 왜 엄마가 자면 깨우고 아빠가 자면 안 깨우 니	너.는|왜|엄.마.가|자.면|깨.우.고|아.빠.가|자.면|안|깨.우|니
응	응
왜 그래	왜|그.래
후	후
뭐가 후 야	뭐.가|후|야
아휴 수박도 후 해서 먹어	아.휴|수.박.도|후|해.서|먹.어
왜	왜
수박 뜨거워	수.박|뜨.거.워
그럼 수박은 어때	그.럼|수.박.은|어.때
응	응
지원이 아까 어디 갔다 왔어	지.원.이|아.까|어.디|갔.다|왔.어
응	응
바다에 갔다 왔어	바.다.에|갔.다|왔.어
바다가 뭔데	바.다.가|뭔.데
응	응
지원이 생일 날 뭐 해	지.원.이|생.일|날|뭐|해
응	응
아이 또 생일날 책 갖고 오는거야	아.이|또|생.일.날|책|갖.고|오.는.거.야
어디 보자	어.디|보.자
음 	음
생일날 뭐 하는지 한번 말해 봐	생.일.날|뭐|하.는.지|한.번|말.해|봐
응 생일 축하 해	응|생.일|축.하|해
너 쉬 마렵지	너|쉬|마.렵.지
찐 아기 뭐 해 지금	찐|아.기|뭐|해|지.금
으허허허 울어	으.허.허.허|울.어
저 쉬 하고 와	저|쉬|하.고|와
누가 상 위에 그러래	누.가|상|위.에|그.러.래
지원아 지원이 몇 살	지.원.아|지.원.이|몇|살
응	응
녹음 또 못 하겠 네 너 말 안해서	녹.음|또|못|하.겠|네|너|말|안.해.서
어제 지원이 엄마랑 어디 갔다 왔어	어.제|지.원.이|엄.마.랑|어.디|갔.다|왔.어
응 거기 가니까 누가 있었어	응|거.기|가.니.까|누.가|있.었.어
응 아미 있었어	응|아.미|있.었.어
응 할머니두 있구	응|할.머.니.두|있.구
그래서 거기서 뭐 했어	그.래.서|거.기.서|뭐|했.어
응	응
거기서 뭐 하다 왔어	거.기.서|뭐|하.다|왔.어
이모도 암이야	이.모.도|암.이.야
응	응
엄마도 암이야	엄.마.도|암.이.야
엄만 아니야	엄.만|아.니.야
