꼼 어딨니 꼼	꼼.어.딨.니.꼼
또 어디가 이쁘게 생겼어	또.어.디.가.이.쁘.게.생.겼.어
손가락도	손.가.락.도
그리고 또	그.리.고.또
요기도 이쁘게 생겼지	요.기.도.이.쁘.게.생.겼.지
요거 뭐야	요.거.뭐.야
다리	다.리
그 다음	그.다.음
요건 어디야	요.건.어.디.야
이쁘게 생겼네	이.쁘.게.생.겼.네
이건 뭐야	이.건.뭐.야
삔으로 씻었어	삔.으.로.씻.었.어
으응 삔으로 손 씻었어	으.응.삔.으.로.손.씻.었.어
으응	으.응
그래 아이 착해	그.래.아.이.착.해
아이구 이 꿀꿀이 정말 이쁘게 생겼다	아.이.구.이.꿀.꿀.이.정.말.이.쁘.게.생.겼.다
어디가 그렇게 이뻐	어.디.가.그.렇.게.이.뻐
얼굴두	얼.굴.두
오오 	오.오
오오 눈도 코도 입도 얼굴도 귀도 다 이쁘게 생겼어	오.오.눈.도.코.도.입.도.얼.굴.도.귀.도.다.이.쁘.게.생.겼.어
네에에	네.에.에
아이구 얘는 누구니	아.이.구.얘.는.누.구.니
어어 오리는 머리 제일 이뻐 얼굴 제일 이뻐 코 제일 이뻐 입 제일 이뻐 다 제일 이쁘네	어.어.오.리.는.머.리.제.일.이.뻐.얼.굴.제.일.이.뻐.코.제.일.이.뻐.입.제.일.이.뻐.다.제.일.이.쁘.네
눈도 제일 이뻐	눈.도.제.일.이.뻐
아이구 잘하네	아.이.구.잘.하.네
얘는 누구야	얘.는.누.구.야
으응 쟤하고	으.응.쟤.하.고
응 쟤하고 쟤하고	응.쟤.하.고.쟤.하.고
또꼬삐야	또.꼬.삐.야
아이고 잘도 하네	아.이.고.잘.도.하.네
또꼬삐	또.꼬.삐
똑같애	똑.같.애
그러며는 이번에는 언니야 나오는 책을 볼까	그.러.며.는.이.번.에.는.언.니.야.나.오.는.책.을.볼.까
요기 언니야 나오는 거	요.기.언.니.야.나.오.는.거
보자	보.자
이건 누구니	이.건.누.구.니
언니야	언.니.야
얘는	얘.는
언니야야 얘	언.니.야.야.얘
찐이야	찐.이.야
얘 누구야	얘.누.구.야
응	응
얜 싫어	얜.싫.어
가 절루	가.절.루
얜 어디가 싫어	얜.어.디.가.싫.어
미워	미.워
으응	으.응
얘는	얘.는
예뻐	예.뻐
어디가 예뻐	어.디.가.예.뻐
얜 미워	얜.미.워
그럼 딴데 보자 미우면	그.럼.딴.데.보.자.미.우.면
아이 얘 이쁘다	아.이.얘.이.쁘.다
가	가
싫어	싫.어
으응	으.응
무섭게 생겼어	무.섭.게.생.겼.어
아이구 얘 귀엽다	아.이.구.얘.귀.엽.다
으응 얘 누구니	으.응.얘.누.구.니
얘 누구야	얘.누.구.야
철오빠	철.오.빠
철 오빠 이쁘니	철.오.빠.이.쁘.니
얘는	얘.는
찐	찐
찐이 어디가 이쁘니	찐.이.어.디.가.이.쁘.니
고기 	고.기
응	응
응	응
어어 그래	어.어.그.래
아이구 다 이쁘 	아.이.구.다.이.쁘
머리도 제일 이뻐	머.리.도.제.일.이.뻐
지원이 짱구지 그치	지.원.이.짱.구.지.그.치
아이구 얘네 둘이두 이쁘다	아.이.구.얘.네.둘.이.두.이.쁘.다
얘네 누구나	얘.네.누.구.나
이렇게 쎄쎄세해	이.렇.게.쎄.쎄.세.해
으응 누구랑 누가 해	으.응.누.구.랑.누.가.해
으응 철하고 찐하고	으.응.철.하.고.찐.하.고
요렇게 하고 있어	요.렇.게.하.고.있.어
요렇게	요.렇.게
하 됐네	하.됐.네
이건 뭐니	이.건.뭐.니
지원아	지.원.아
응 또꼬삐다 그래	응.또.꼬.삐.다.그.래
뭐니 그거	뭐.니.그.거
으응	으.응
얘네 뭐하니	얘.네.뭐.하.니
뭐하니	뭐.하.니
으응 아퍼했어	으.응.아.퍼.했.어
넘어져서	넘.어.져.서
으응 왜 넘어졌을까	으.응.왜.넘.어.졌.을.까
그건 뭔데	그.건.뭔.데
어어 모자 그래	어.어.모.자.그.래
넘어져서 모자가 떨어졌나 보다 그치	넘.어.져.서.모.자.가.떨.어.졌.나.보.다.그.치
으응	으.응
얘네는 뭐하니	얘.네.는.뭐.하.니
뽀뽀해	뽀.뽀.해
얘는 뭐해	얘.는.뭐.해
뭐하는데	뭐.하.는.데
응	응
뭐하고 있어	뭐.하.고.있.어
울어	울.어
잉잉잉하나보다	잉.잉.잉.하.나.보.다
응	응
어 얘 누구니	어.얘.누.구.니
찐아아	찐.아.아
아쭈 찐아 놀자아했어	아.쭈.찐.아.놀.자.아.했.어
누구랑	누.구.랑
찐아가 놀자 했어	찐.아.가.놀.자.했.어
누구한테 그랬어	누.구.한.테.그.랬.어
아가한테	아.가.한.테
어느 게 아간데	어.느.게.아.간.데
오오 야옹이 아가	오.오.야.옹.이.아.가
으응	으.응
찐아 놀자아 그랬어	찐.아.놀.자.아.그.랬.어
으응	으.응
얘는 뭐니	얘.는.뭐.니
으응 글루 가자	으.응.글.루.가.자
거기가 어딘데	거.기.가.어.딘.데
으응 그랬어	으.응.그.랬.어
재밌겠네 그치	재.밌.겠.네.그.치
응 히히	응.히.히
어 얘네는 뭐해	어.얘.네.는.뭐.해
얘 누구야	얘.누.구.야
어허 찐아 놀자	어.허.찐.아.놀.자
누가 그랬는데	누.가.그.랬.는.데
찐 아기가 어느 건데	찐.아.기.가.어.느.건.데
멍멍이가 찐 아기야	멍.멍.이.가.찐.아.기.야
으응	으.응
이거는 뭐야	이.거.는.뭐.야
다 봤네	다.봤.네
응 이제 그거 보자	응.이.제.그.거.보.자
이거 뭐니	이.거.뭐.니
지원아	지.원.아
응 사과다 그치	응.사.과.다.그.치
펑은 없어요	펑.은.없.어.요
펑은 밖에 나갈 때 쓰는 거에요	펑.은.밖.에.나.갈.때.쓰.는.거.에.요
우산은 밖에 비올 때 쓰는 거야	우.산.은.밖.에.비.올.때.쓰.는.거.야
지원아 비가 뭐니	지.원.아.비.가.뭐.니
비가	비.가
비 어디 오니	비.어.디.오.니
어어 저 밖에 오고 있어	어.어.저.밖.에.오.고.있.어
그래 지금 비 오고 있지	그.래.지.금.비.오.고.있.지
으응	으.응
으응 꽃이다	으.응.꽃.이.다
꽃이 얼만큼 있니	꽃.이.얼.만.큼.있.니
꽃이 놀자 그래	꽃.이.놀.자.그.래
으응	으.응
꽃이 많다 그래야지	꽃.이.많.다.그.래.야.지
이렇게 많으니까	이.렇.게.많.으.니.까
꽃이 많다아	꽃.이.많.다.아
토치야	토.치.야
토치는 어디 있어	토.치.는.어.디.있.어
아아 여기 있구나 그래	아.아.여.기.있.구.나.그.래
토치야 뭐라 그럴까	토.치.야.뭐.라.그.럴.까
아이구 잘하네	아.이.구.잘.하.네
토치야 놀자	토.치.야.놀.자
누구랑 놀아	누.구.랑.놀.아
누가	누.가
누가 누구랑 놀아	누.가.누.구.랑.놀.아
으응	으.응
얘는 뭔데	얘.는.뭔.데
꼼이 어떻게 했어	꼼.이.어.떻.게.했.어
응 꼼이 아기 꼼을 어떻게 했어	응.꼼.이.아.기.꼼.을.어.떻.게.했.어
어떻게	어.떻.게
요기 어떻게 했어	요.기.어.떻.게.했.어
등에 어떻게 했어	등.에.어.떻.게.했.어
응	응
등에 어떻게 했어	등.에.어.떻.게.했.어
진짜 아기 우는 소리 들린다 그치	진.짜.아.기.우.는.소.리.들.린.다.그.치
응	응
찐이도 우니	찐.이.도.우.니
찐이는 뭐하는 데	찐.이.는.뭐.하.는.데
책이 읽어	책.이.읽.어
으응	으.응
요거 뭐니	요.거.뭐.니
요거 뭐야	요.거.뭐.야
매미	매.미
나비 어딨어	나.비.어.딨.어
찾아봐	찾.아.봐
어디 있는데	어.디.있.는.데
나비 어디 있어	나.비.어.디.있.어
나비 어디 있냐	나.비.어.디.있.냐
거깄다	거.깄.다
나비는 예쁘니	나.비.는.예.쁘.니
나비는 어디가 예뻐	나.비.는.어.디.가.예.뻐
오오 나비 그러면 귀가 어디 있어	오.오.나.비.그.러.면.귀.가.어.디.있.어
한번 가리켜 줘봐	한.번.가.리.켜.줘.봐
나비 귀	나.비.귀
그건 찐 귀지	그.건.찐.귀.지
나비 귀는 어디 있니	나.비.귀.는.어.디.있.니
거기 있어	거.기.있.어
그러면 나비 입은 어디 있어	그.러.면.나.비.입.은.어.디.있.어
야 그거는 찐이 귀지 그게 나비 귀니	야.그.거.는.찐.이.귀.지.그.게.나.비.귀.니
응	응
나비 다리는 어딨어 그럼	나.비.다.리.는.어.딨.어.그.럼
으응 다리 이거야	으.응.다.리.이.거.야
이건 뭐야	이.건.뭐.야
이건 뭐야	이.건.뭐.야
오게게게	오.게.게.게
오호 그랬어	오.호.그.랬.어
놀자	놀.자
뭐하고 놀까	뭐.하.고.놀.까
이거 쎄쎄쎄하면서 놀	이.거.쎄.쎄.쎄.하.면.서.놀
아아 하나 둘 셋 이거 뭐 어떻게 하더라	아.아.하.나.둘.셋.이.거.뭐.어.떻.게.하.더.라
자꾸 자꾸 자꾸 작 작 작	자.꾸.자.꾸.자.꾸.작.작.작
지원아 지원아 어디가 이쁘니	지.원.아.지.원.아.어.디.가.이.쁘.니
이제 지원이가 말해	이.제.지.원.이.가.말.해
쎄쎄쎄하게	쎄.쎄.쎄.하.게
아침 바람 	아.침.바.람
참 바람에 	참.바.람.에
울고가는 	울.고.가.는
저 기러기	저.기.러.기
우리 선생 계실 적에 엽서 한장 써 주세요	우.리.선.생.계.실.적.에.엽.서.한.장.써.주.세.요
구리 구리 구리 구리 	구.리.구.리.구.리.구.리
가위 바위 보	가.위.바.위.보
허허허	허.허.허
이번엔 뭐하까	이.번.엔.뭐.하.까
새야 새야	새.야.새.야
그럼 뭐해	그.럼.뭐.해
뭐하까	뭐.하.까
총	총
총이 뭔데	총.이.뭔.데
총이 뭔데	총.이.뭔.데
충	충
아침바람	아.침.바.람
응	응
아침 바람 	아.침.바.람
참 바람에 	참.바.람.에
울고가는 저 기 어 울고 가는 저 기러기	울.고.가.는.저.기.어.울.고.가.는.저.기.러.기
우리 선생 계실 적에	우.리.선.생.계.실.적.에
엽서 	엽.서
누워	누.워
누워서 뭐해	누.워.서.뭐.해
누워서 하자구	누.워.서.하.자.구
새야새야할까	새.야.새.야.할.까
새야	새.야
그럼 뭐해	그.럼.뭐.해
아침 바람	아.침.바.람
참 바람에 	참.바.람.에
울고 가는 저 기러기 	울.고.가.는.저.기.러.기
우리 선생 계실 적에 엽서 한장 써 주세요	우.리.선.생.계.실.적.에.엽.서.한.장.써.주.세.요
구리 구리 구리 구리 가위 바위 보	구.리.구.리.구.리.구.리.가.위.바.위.보
그럼 뭐하까	그.럼.뭐.하.까
녹음기	녹.음.기
녹음기하면 빨리 말해야지	녹.음.기.하.면.빨.리.말.해.야.지
무슨 말할래	무.슨.말.할.래
나	나
나가 누군데	나.가.누.군.데
나가 누구야	나.가.누.구.야
나가 누구니 지원아	나.가.누.구.니.지.원.아
찐이야	찐.이.야
어어 찐을 나 그러는 거야	어.어.찐.을.나.그.러.는.거.야
엄마가 나 그럴 땐 누구야	엄.마.가.나.그.럴.땐.누.구.야
찐 나	찐.나
어이구 나라는 거 언제 배웠어	어.이.구.나.라.는.거.언.제.배.웠.어
으으응	으.으.응
응	응
깡칭이 뭔데	깡.칭.이.뭔.데
깐치가 뭐야	깐.치.가.뭐.야
까치	까.치
깐치가 뭐야	깐.치.가.뭐.야
까치 보고 싶어	까.치.보.고.싶.어
까치 보여 주께	까.치.보.여.주.께
까치 요기 있다	까.치.요.기.있.다
아우	아.우
우우우 이거 뭐야	우.우.우.이.거.뭐.야
아이구 까치	아.이.구.까.치
얘는	얘.는
얘	얘
새 참새	새.참.새
참새해봐	참.새.해.봐
응	응
그러면 얘는	그.러.면.얘.는
독수리	독.수.리
얘는	얘.는
아이구 황새 외웠어	아.이.구.황.새.외.웠.어
아이구 너 참 장하도다	아.이.구.너.참.장.하.도.다
얘 누구라구	얘.누.구.라.구
아이구 잘한다 진짜로	아.이.구.잘.한.다.진.짜.로
얘는	얘.는
얘는	얘.는
얘 얘	얘.얘
얘는 뭐라 그랬더라	얘.는.뭐.라.그.랬.더.라
아아 맞어 맞어 꽁작	아.아.맞.어.맞.어.꽁.작
허허	허.허
꽁칭이 아니라 공작	꽁.칭.이.아.니.라.공.작
얘는	얘.는
그래 딱따구리	그.래.딱.따.구.리
얘는	얘.는
응 부엉이	응.부.엉.이
히히 얘는	히.히.얘.는
새	새
얘는	얘.는
얘는 제비	얘.는.제.비
제에비 그래봐	제.에.비.그.래.봐
황새는 얘야	황.새.는.얘.야
얘가 황새고 얘는 제비	얘.가.황.새.고.얘.는.제.비
해봐	해.봐
그래 아이고 잘하네	그.래.아.이.고.잘.하.네
제 비	제.비
제 비해봐	제.비.해.봐
아이구 잘하네	아.이.구.잘.하.네
제 비	제.비
제 비	제.비
응	응
그러면 다시	그.러.면.다.시
얜 누구	얜.누.구
얘는	얘.는
응 얘는	응.얘.는
응 얘는 황새	응.얘.는.황.새
얘는	얘.는
독수리 해봐	독.수.리.해.봐
독수리	독.수.리
그래 독수린 관 두자 그래	그.래.독.수.린.관.두.자.그.래
얘는	얘.는
얘는	얘.는
꽁작	꽁.작
히히	히.히
꽁기가 아니라 꽁작	꽁.기.가.아.니.라.꽁.작
아이고 재밌어	아.이.고.재.밌.어
얘는	얘.는
딱따구리	딱.따.구.리
얘는 얘는	얘.는.얘.는
부엉이야	부.엉.이.야
야 부엉이 무섭게 생겼다	야.부.엉.이.무.섭.게.생.겼.다
눈이 그냥 부리부리하네	눈.이.그.냥.부.리.부.리.하.네
그치	그.치
그 다음에 얘는	그.다.음.에.얘.는
얘 뭐니	얘.뭐.니
앵무새	앵.무.새
얘는	얘.는
얘	얘
얘	얘
제비	제.비
제비	제.비
에잇	에.잇
또 딴 소리하기 시작이네	또.딴.소.리.하.기.시.작.이.네
제비	제.비
제비	제.비
그러며는 얘는 누구니	그.러.며.는.얘.는.누.구.니
나비	나.비
나비	나.비
나비	나.비
얘는	얘.는
얘는 잠자리야 얘는	얘.는.잠.자.리.야.얘.는
잠자리	잠.자.리
얘는	얘.는
파리	파.리
파리	파.리
파삐가 아니라 파리	파.삐.가.아.니.라.파.리
파리	파.리
에이구	에.이.구
이건 너무 어려워서 너는 모르겠다	이.건.너.무.어.려.워.서.너.는.모.르.겠.다
그러며는 얘는	그.러.며.는.얘.는
응	응
어느게 야	어.느.게.야
그게 어느 거야	그.게.어.느.거.야
응 얘가 또꼬삐야	응.얘.가.또.꼬.삐.야
얘는 뭐야	얘.는.뭐.야
응	응
퉁	퉁
소	소
야 소 요거 뭐니	야.소.요.거.뭐.니
찌찌다	찌.찌.다
소 찌찌	소.찌.찌
소의 찌찌다	소.의.찌.찌.다
찐 찌찌 어딨니	찐.찌.찌.어.딨.니
아이 고기 있어	아.이.고.기.있.어
얘 누구라구	얘.누.구.라.구
으응 얘는	으.응.얘.는
말	말
말의 찌찌는 어딨는데	말.의.찌.찌.는.어.딨.는.데
헤헤헤 얘는	헤.헤.헤.얘.는
예옹	예.옹
얘는	얘.는
꼬꼬댁	꼬.꼬.댁
얘는	얘.는
말	말
요거는	요.거.는
염 소	염.소
얘는	얘.는
그거 말이야	그.거.말.이.야
응	응
말이 어디 얼만촘	말.이.어.디.얼.만.촘
말이 얼만치	말.이.얼.만.치
응 얘 누구냐	응.얘.누.구.냐
토치가 으으 울고 있어	토.치.가.으.으.울.고.있.어
토치는 어디가 이쁠까	토.치.는.어.디.가.이.쁠.까
토치 우는데 어디가 이뻐	토.치.우.는.데.어.디.가.이.뻐
에잇	에.잇
어이구 얘는 누구니	어.이.구.얘.는.누.구.니
멍이 코자	멍.이.코.자
멍이 코자는데 눈 뜨고 코자니	멍.이.코.자.는.데.눈.뜨.고.코.자.니
지원이는 코잘 때 눈 어떻게 해	지.원.이.는.코.잘.때.눈.어.떻.게.해
으응 그렇게 감어	으.응.그.렇.게.감.어
그런데 멍멍이 지금 여기 눈 떳네	그.런.데.멍.멍.이.지.금.여.기.눈.떳.네
근데 코자	근.데.코.자
정말로	정.말.로
아이 멍멍이는 눈 뜨고 코자는 구나	아.이.멍.멍.이.는.눈.뜨.고.코.자.는.구.나
요건 뭐니	요.건.뭐.니
응	응
뭐	뭐
헤헤 요거는	헤.헤.요.거.는
에에비똑	에.에.비.똑
그다음에 요건 누구니	그.다.음.에.요.건.누.구.니
아야유	아.야.유
어디 내비가 있어	어.디.내.비.가.있.어
아기 꿀꿀이 어딨니 아기 꿀꿀이	아.기.꿀.꿀.이.어.딨.니.아.기.꿀.꿀.이
어이 또 어딨어 또	어.이.또.어.딨.어.또
또 또 또 또 어이 아기 꿀꿀이가 엄마 등위에 가서 업혀 있네	또.또.또.또.어.이.아.기.꿀.꿀.이.가.엄.마.등.위.에.가.서.업.혀.있.네
업었다 그치	업.었.다.그.치
으응	으.응
어디	어.디
그래 등에	그.래.등.에
아유 이 토치는 어떻게 하고 있니	아.유.이.토.치.는.어.떻.게.하.고.있.니
응	응
이거 뭐야	이.거.뭐.야
이러구 있어	이.러.구.있.어
윙크 해봐	윙.크.해.봐
헤헤 윙크	헤.헤.윙.크
찐이 이모 보고 싶니	찐.이.이.모.보.고.싶.니
이모 어디 있는데	이.모.어.디.있.는.데
전화에 있어	전.화.에.있.어
으응 전화로 말해 이모랑	으.응.전.화.로.말.해.이.모.랑
조금 있다 이모한테 전화해 줄께	조.금.있.다.이.모.한.테.전.화.해.줄.께
어유 할머니는 어딨어	어.유.할.머.니.는.어.딨.어
할머니 뭐해	할.머.니.뭐.해
응	응
코자	코.자
꼭꼭해	꼭.꼭.해
할머니가	할.머.니.가
어디서	어.디.서
할머니가 어디서	할.머.니.가.어.디.서
할머니 보고 싶니	할.머.니.보.고.싶.니
어떻게 보고 싶어	어.떻.게.보.고.싶.어
눈으로 보고 싶어	눈.으.로.보.고.싶.어
할머니 전화하자구	할.머.니.전.화.하.자.구
할머니 지금 코자	할.머.니.지.금.코.자
할머니 가자구	할.머.니.가.자.구
응	응
할머니한테 가까	할.머.니.한.테.가.까
응	응
어데로	어.데.로
전화해서 할머니한테 가자구	전.화.해.서.할.머.니.한.테.가.자.구
할머니한테 가까 이모한테 가까	할.머.니.한.테.가.까.이.모.한.테.가.까
응	응
이모한테	이.모.한.테
저 녹음기만 끝나면 이모한테 가자 우리	저.녹.음.기.만.끝.나.면.이.모.한.테.가.자.우.리
응 지원이는 이모가 왜 좋아	응.지.원.이.는.이.모.가.왜.좋.아
응	응
이모가 왜 좋아	이.모.가.왜.좋.아
왜 눈 감았어	왜.눈.감.았.어
골치 아파서 말 못하겠어	골.치.아.파.서.말.못.하.겠.어
으응	으.응
어여여여	어.여.여.여
지원아	지.원.아
지원이는 언니 좋으니	지.원.이.는.언.니.좋.으.니
응	응
언니가 좋으니 엄마가 좋으니	언.니.가.좋.으.니.엄.마.가.좋.으.니
응	응
엄마가 좋아	엄.마.가.좋.아
찐이 우유 주까	찐.이.우.유.주.까
핑키 볼래	핑.키.볼.래
응 그래	응.그.래
핑 키	핑.키
자 핑키	자.핑.키
자	자
지원이 오늘 녹음을 많이 했어요	지.원.이.오.늘.녹.음.을.많.이.했.어.요
어	어
너 궁둥이에 무슨 이렇게 뭐가 뾰죽뾰죽 많이 났니	너.궁.둥.이.에.무.슨.이.렇.게.뭐.가.뾰.죽.뾰.죽.많.이.났.니
핑키	핑.키
거진 다 됐다 지원아	거.진.다.됐.다.지.원.아
그럼 이모한테 전화해 볼까	그.럼.이.모.한.테.전.화.해.볼.까
응	응
그럼 이모 그래	그.럼.이.모.그.래
이모가 야 전화를 안 받는다	이.모.가.야.전.화.를.안.받.는.다
어떻게 하지	어.떻.게.하.지
전화를 안 받는데	전.화.를.안.받.는.데
전화 안 받는다	전.화.안.받.는.다
전화 안받는데 그럼 뭐하까	전.화.안.받.는.데.그.럼.뭐.하.까
응	응
까까 먹어	까.까.먹.어
응	응
책이 봐	책.이.봐
무슨 책이 봐	무.슨.책.이.봐
응	응
코책	코.책
코 책이 뭔데	코.책.이.뭔.데
응	응
찐이는 언니랑 그렇게 재밌게 놀았어	찐.이.는.언.니.랑.그.렇.게.재.밌.게.놀.았.어
뭐하고 놀았어	뭐.하.고.놀.았.어
저게 뭔데	저.게.뭔.데
저거 뭐라 그래	저.거.뭐.라.그.래
응	응
저게 뭐야	저.게.뭐.야
콩	콩
으응	으.응
내일도 또 콩해	내.일.도.또.콩.해
으응 그러고 또 또 뭐하고 놀았어	으.응.그.러.고.또.또.뭐.하.고.놀.았.어
지원아 녹음 해야지	지.원.아.녹.음.해.야.지
이거	이.거
녹음기	녹.음.기
테잎	테.잎
이거	이.거
이거	이.거
테이프	테.이.프
그건 뭐야	그.건.뭐.야
응	응
누구 빵빵	누.구.빵.빵
그럼 이건 뭐야	그.럼.이.건.뭐.야
뭐라고	뭐.라.고
땡똥	땡.똥
냉장고	냉.장.고
이거 진 꺼잖아	이.거.진.꺼.잖.아
냉장고	냉.장.고
이거 찐이 냉장고 잖아	이.거.찐.이.냉.장.고.잖.아
진 땅땅 사줘	진.땅.땅.사.줘
고거 진 땅땅인데	고.거.진.땅.땅.인.데
아니야	아.니.야
어디 거기 있어	어.디.거.기.있.어
으응 	으.응
어디 있는데	어.디.있.는.데
아	아
자전거	자.전.거
찐이 자전거 밖에 있잖아	찐.이.자.전.거.밖.에.있.잖.아
봐	봐
생일날 사준거	생.일.날.사.준.거
있잖아	있.잖.아
혼자 잘 타	혼.자.잘.타
오	오
그래	그.래
지원이 잘 타지	지.원.이.잘.타.지
녹음이 또 어떻게 제대로 안됐다	녹.음.이.또.어.떻.게.제.대.로.안.됐.다
으응	으.응
지원이 땅땅에서 뭐 꺼낼래	지.원.이.땅.땅.에.서.뭐.꺼.낼.래
탠탠	탠.탠
쥬우	쥬.우
쭈스 엄마 한잔 주세요	쭈.스.엄.마.한.잔.주.세.요
쭈스 어디	쭈.스.어.디
또 망가졌다	또.망.가.졌.다
누가 이랬어	누.가.이.랬.어
찐이는 어떤 사람이야	찐.이.는.어.떤.사.람.이.야
빨리 주세요	빨.리.주.세.요
그게 뭐야	그.게.뭐.야
으응	으.응
그건 뭐야	그.건.뭐.야
그게 쭈스야	그.게.쭈.스.야
그거 간장이야	그.거.간.장.이.야
으응	으.응
뭐	뭐
찐 목아프니	찐.목.아.프.니
으응	으.응
할머니 어디 가셨니	할.머.니.어.디.가.셨.니
지원아	지.원.아
그거 다 뭐야	그.거.다.뭐.야
으응	으.응
배추	배.추
배추 어느건지 엄마 좀 보여줘	배.추.어.느.건.지.엄.마.좀.보.여.줘
응	응
파인애플이네	파.인.애.플.이.네
으응	으.응
그 뭐니	그.뭐.니
뭐야	뭐.야
그거	그.거
아이구 잘하네 근데 왜 모른대	아.이.구.잘.하.네.근.데.왜.모.른.대
엄마 쥬스 준대매	엄.마.쥬.스.준.대.매
으응	으.응
녜	녜
커피요	커.피.요
그럼 냉장고 갖고 오세요	그.럼.냉.장.고.갖.고.오.세.요
녜 	녜
커피 한잔요	커.피.한.잔.요
그릇도 없네요	그.릇.도.없.네.요
요기다 줄께	요.기.다.줄.께
어디요	어.디.요
요기요	요.기.요
녜	녜
드세요	드.세.요
맛있어요	맛.있.어.요
엄마 포도 좀 주세요	엄.마.포.도.좀.주.세.요
어디 먹어 보자	어.디.먹.어.보.자
아이구 맛있네요	아.이.구.맛.있.네.요
옥수수	옥.수.수
옥수수 줘 보세요	옥.수.수.줘.보.세.요
아이구 지원이 옥수수도 알아요	아.이.구.지.원.이.옥.수.수.도.알.아.요
지원이 옥수수 좋아해요	지.원.이.옥.수.수.좋.아.해.요
녜	녜
배추도 주세요	배.추.도.주.세.요
김치 담아 먹께요	김.치.담.아.먹.께.요
배추 주세요	배.추.주.세.요
배추 있을꺼예요	배.추.있.을.꺼.예.요
있어요	있.어.요
배추 요기 있네요	배.추.요.기.있.네.요
여기 있네 배추	여.기.있.네.배.추
아유 지원이가 먹여 주니깐 배추 맛이 더 좋으네	아.유.지.원.이.가.먹.여.주.니.깐.배.추.맛.이.더.좋.으.네
그러면 무우도 좀 주세요	그.러.면.무.우.도.좀.주.세.요
무우 	무.우
응	응
무우 없어	무.우.없.어
있을텐데	있.을.텐.데
오 이 이모는 아주 이쁘게 생겼네	오.이.이.모.는.아.주.이.쁘.게.생.겼.네
아	아
맛있네	맛.있.네
으음	으.음
바나나 주세요	바.나.나.주.세.요
아유 맛있네요	아.유.맛.있.네.요
그리구 저기 호박 주셰요	그.리.구.저.기.호.박.주.셰.요
응	응
응	응
호박	호.박
파인애플 좀 주세요	파.인.애.플.좀.주.세.요
아 파인애플도 알아요	아.파.인.애.플.도.알.아.요
고추 먹을래요	고.추.먹.을.래.요
엄마	엄.마
응	응
그러자	그.러.자
고추 찾아 보셰요	고.추.찾.아.보.셰.요
있을텐데 요기	있.을.텐.데.요.기
여기 보이네	여.기.보.이.네
고추 보이네	고.추.보.이.네
고추 여기 있네	고.추.여.기.있.네
고추	고.추
그래 거기 있네	그.래.거.기.있.네
고추 맛있어	고.추.맛.있.어
맛있니	맛.있.니
아유 진짜 먹었네	아.유.진.짜.먹.었.네
아구 맛있다	아.구.맛.있.다
그다음에 우리 시금치 먹자 시금치 어느거니	그.다.음.에.우.리.시.금.치.먹.자.시.금.치.어.느.거.니
이걸 시금치라고 그래	이.걸.시.금.치.라.고.그.래
시금치	시.금.치
인제 담으세요	인.제.담.으.세.요
이건 뭐예요	이.건.뭐.예.요
그거 당근	그.거.당.근
응	응
그건 뭐니	그.건.뭐.니
간땅	간.땅
이건 뭐야	이.건.뭐.야
아니야	아.니.야
조금 달라	조.금.달.라
이거는 뭐니	이.거.는.뭐.니
이거는	이.거.는
무우	무.우
좀 다르게 생겼잖아	좀.다.르.게.생.겼.잖.아
응	응
자주	자.주
자주가 뭐야	자.주.가.뭐.야
몇개 있어 요기	몇.개.있.어.요.기
응	응
응	응
응	응
응	응
응	응
응	응
응	응
열	열
아이구	아.이.구
많다	많.다
많다	많.다
야	야
다시 이거 놓고	다.시.이.거.놓.고
엄마한테 다섯개만 주세요	엄.마.한.테.다.섯.개.만.주.세.요
손바닥에 다섯개만 놔 주세요	손.바.닥.에.다.섯.개.만.놔.주.세.요
다섯개만	다.섯.개.만
응	응
다섯개만 주세요	다.섯.개.만.주.세.요
응	응
다섯개만 주세요	다.섯.개.만.주.세.요
음	음
하나	하.나
음 이건 몇개야	음.이.건.몇.개.야
어느개 세개야	어.느.개.세.개.야
어디 하나 둘 셋 넷이야	어.디.하.나.둘.셋.넷.이.야
엄마한테 다섯개만 주세요	엄.마.한.테.다.섯.개.만.주.세.요
주세요	주.세.요
맛있다	맛.있.다
쭈스 주시구요	쭈.스.주.시.구.요
사이다도 주세요	사.이.다.도.주.세.요
맛있어요	맛.있.어.요
빨아 먹었어요	빨.아.먹.었.어.요
어이구야	어.이.구.야
빨아 먹는 것도 알아	빨.아.먹.는.것.도.알.아
응	응
빨아 먹었어	빨.아.먹.었.어
엄마	엄.마
간장 어디 있어	간.장.어.디.있.어
아니야	아.니.야
이건 간장 아니야	이.건.간.장.아.니.야
이거는 오 콜라	이.거.는.오.콜.라
오	오
사과 쥬스	사.과.쥬.스
사과 쥬스	사.과.쥬.스
간장은 어느 거야	간.장.은.어.느.거.야
응	응
그래 간장이네 그거	그.래.간.장.이.네.그.거
간장 언제 써	간.장.언.제.써
으응	으.응
간장은 언제 쓰는거야	간.장.은.언.제.쓰.는.거.야
오	오
꼬 만들때 써	꼬.만.들.때.써
간장도 그렇게 빨아 먹어	간.장.도.그.렇.게.빨.아.먹.어
응	응
으응	으.응
뭐가 많아	뭐.가.많.아
어	어
아이구 다 꺼내놨네	아.이.구.다.꺼.내.놨.네
